IDSUCURSAL;NITPROVEEDOR;FECHAEXP;FECHAEST;FECHAENTEGA;ESTADO
41;10000041;10/02/2017;15/02/2017;14/02/2017;Entregado
42;10000042;11/02/2017;16/02/2017;;Espera
43;10000043;12/02/2017;17/02/2017;16/02/2017;Entregado
44;10000044;13/02/2017;18/02/2017;;Espera
45;10000045;14/02/2017;19/02/2017;;Espera
46;10000046;15/02/2017;20/02/2017;;Espera
47;10000047;16/02/2017;21/02/2017;;Espera
48;10000048;17/02/2017;22/02/2017;;Espera
49;10000049;18/02/2017;23/02/2017;22/02/2017;Entregado
50;10000050;19/02/2017;24/02/2017;;Espera
51;10000051;20/02/2017;25/02/2017;24/02/2017;Entregado
52;10000052;21/02/2017;26/02/2017;;Espera
53;10000053;22/02/2017;27/02/2017;;Espera
54;10000054;23/02/2017;28/02/2017;;Espera
55;10000055;24/02/2017;1/03/2017;28/02/2017;Entregado
56;10000056;25/02/2017;2/03/2017;1/03/2017;Entregado
57;10000057;26/02/2017;3/03/2017;;Espera
58;10000058;27/02/2017;4/03/2017;3/03/2017;Entregado
59;10000059;28/02/2017;5/03/2017;4/03/2017;Entregado
60;10000060;1/03/2017;6/03/2017;5/03/2017;Entregado
61;10000061;2/03/2017;7/03/2017;6/03/2017;Entregado
62;10000062;3/03/2017;8/03/2017;7/03/2017;Entregado
63;10000063;4/03/2017;9/03/2017;;Espera
64;10000064;5/03/2017;10/03/2017;9/03/2017;Entregado
65;10000065;6/03/2017;11/03/2017;;Espera
66;10000066;7/03/2017;12/03/2017;;Espera
67;10000067;8/03/2017;13/03/2017;;Espera
68;10000068;9/03/2017;14/03/2017;13/03/2017;Entregado
69;10000069;10/03/2017;15/03/2017;;Espera
70;10000070;11/03/2017;16/03/2017;15/03/2017;Entregado
71;10000071;12/03/2017;17/03/2017;;Espera
72;10000072;13/03/2017;18/03/2017;17/03/2017;Entregado
73;10000073;14/03/2017;19/03/2017;;Espera
74;10000074;15/03/2017;20/03/2017;;Espera
75;10000075;16/03/2017;21/03/2017;20/03/2017;Entregado
76;10000076;17/03/2017;22/03/2017;;Espera
77;10000077;18/03/2017;23/03/2017;;Espera
78;10000078;19/03/2017;24/03/2017;23/03/2017;Entregado
79;10000079;20/03/2017;25/03/2017;;Espera
80;10000080;21/03/2017;26/03/2017;25/03/2017;Entregado
81;10000081;22/03/2017;27/03/2017;;Espera
82;10000082;23/03/2017;28/03/2017;;Espera
83;10000083;24/03/2017;29/03/2017;;Espera
84;10000084;25/03/2017;30/03/2017;;Espera
85;10000085;26/03/2017;31/03/2017;30/03/2017;Entregado
86;10000086;27/03/2017;1/04/2017;;Espera
87;10000087;28/03/2017;2/04/2017;1/04/2017;Entregado
88;10000088;29/03/2017;3/04/2017;;Espera
89;10000089;30/03/2017;4/04/2017;;Espera
90;10000090;31/03/2017;5/04/2017;4/04/2017;Entregado
91;10000091;1/04/2017;6/04/2017;5/04/2017;Entregado
92;10000092;2/04/2017;7/04/2017;6/04/2017;Entregado
93;10000093;3/04/2017;8/04/2017;7/04/2017;Entregado
94;10000094;4/04/2017;9/04/2017;8/04/2017;Entregado
95;10000095;5/04/2017;10/04/2017;;Espera
96;10000096;6/04/2017;11/04/2017;10/04/2017;Entregado
97;10000097;7/04/2017;12/04/2017;11/04/2017;Entregado
98;10000098;8/04/2017;13/04/2017;12/04/2017;Entregado
99;10000099;9/04/2017;14/04/2017;13/04/2017;Entregado
100;10000100;10/04/2017;15/04/2017;;Espera
101;10000101;11/04/2017;16/04/2017;15/04/2017;Entregado
102;10000102;12/04/2017;17/04/2017;16/04/2017;Entregado
103;10000103;13/04/2017;18/04/2017;17/04/2017;Entregado
104;10000104;14/04/2017;19/04/2017;18/04/2017;Entregado
105;10000105;15/04/2017;20/04/2017;;Espera
106;10000106;16/04/2017;21/04/2017;20/04/2017;Entregado
107;10000107;17/04/2017;22/04/2017;21/04/2017;Entregado
108;10000108;18/04/2017;23/04/2017;22/04/2017;Entregado
109;10000109;19/04/2017;24/04/2017;;Espera
110;10000110;20/04/2017;25/04/2017;;Espera
111;10000111;21/04/2017;26/04/2017;25/04/2017;Entregado
112;10000112;22/04/2017;27/04/2017;;Espera
113;10000113;23/04/2017;28/04/2017;27/04/2017;Entregado
114;10000114;24/04/2017;29/04/2017;;Espera
115;10000115;25/04/2017;30/04/2017;;Espera
116;10000116;26/04/2017;1/05/2017;30/04/2017;Entregado
117;10000117;27/04/2017;2/05/2017;1/05/2017;Entregado
118;10000118;28/04/2017;3/05/2017;;Espera
119;10000119;29/04/2017;4/05/2017;;Espera
120;10000120;30/04/2017;5/05/2017;4/05/2017;Entregado
121;10000121;1/05/2017;6/05/2017;;Espera
122;10000122;2/05/2017;7/05/2017;;Espera
123;10000123;3/05/2017;8/05/2017;;Espera
124;10000124;4/05/2017;9/05/2017;8/05/2017;Entregado
125;10000125;5/05/2017;10/05/2017;;Espera
126;10000126;6/05/2017;11/05/2017;;Espera
127;10000127;7/05/2017;12/05/2017;11/05/2017;Entregado
128;10000128;8/05/2017;13/05/2017;12/05/2017;Entregado
129;10000129;9/05/2017;14/05/2017;;Espera
130;10000130;10/05/2017;15/05/2017;14/05/2017;Entregado
131;10000131;11/05/2017;16/05/2017;15/05/2017;Entregado
132;10000132;12/05/2017;17/05/2017;16/05/2017;Entregado
133;10000133;13/05/2017;18/05/2017;;Espera
134;10000134;14/05/2017;19/05/2017;;Espera
135;10000135;15/05/2017;20/05/2017;19/05/2017;Entregado
136;10000136;16/05/2017;21/05/2017;;Espera
137;10000137;17/05/2017;22/05/2017;;Espera
138;10000138;18/05/2017;23/05/2017;;Espera
139;10000139;19/05/2017;24/05/2017;23/05/2017;Entregado
140;10000140;20/05/2017;25/05/2017;24/05/2017;Entregado
141;10000141;21/05/2017;26/05/2017;25/05/2017;Entregado
142;10000142;22/05/2017;27/05/2017;26/05/2017;Entregado
143;10000143;23/05/2017;28/05/2017;;Espera
144;10000144;24/05/2017;29/05/2017;;Espera
145;10000145;25/05/2017;30/05/2017;;Espera
146;10000146;26/05/2017;31/05/2017;;Espera
147;10000147;27/05/2017;1/06/2017;;Espera
148;10000148;28/05/2017;2/06/2017;;Espera
149;10000149;29/05/2017;3/06/2017;2/06/2017;Entregado
150;10000150;30/05/2017;4/06/2017;;Espera
1;10000151;31/05/2017;5/06/2017;4/06/2017;Entregado
2;10000152;1/06/2017;6/06/2017;;Espera
3;10000153;2/06/2017;7/06/2017;;Espera
4;10000154;3/06/2017;8/06/2017;7/06/2017;Entregado
5;10000155;4/06/2017;9/06/2017;;Espera
6;10000156;5/06/2017;10/06/2017;;Espera
7;10000157;6/06/2017;11/06/2017;10/06/2017;Entregado
8;10000158;7/06/2017;12/06/2017;;Espera
9;10000159;8/06/2017;13/06/2017;12/06/2017;Entregado
10;10000160;9/06/2017;14/06/2017;;Espera
11;10000161;10/06/2017;15/06/2017;14/06/2017;Entregado
12;10000162;11/06/2017;16/06/2017;;Espera
13;10000163;12/06/2017;17/06/2017;16/06/2017;Entregado
14;10000164;13/06/2017;18/06/2017;17/06/2017;Entregado
15;10000165;14/06/2017;19/06/2017;;Espera
16;10000166;15/06/2017;20/06/2017;;Espera
17;10000167;16/06/2017;21/06/2017;20/06/2017;Entregado
18;10000168;17/06/2017;22/06/2017;21/06/2017;Entregado
19;10000169;18/06/2017;23/06/2017;22/06/2017;Entregado
20;10000170;19/06/2017;24/06/2017;23/06/2017;Entregado
21;10000171;20/06/2017;25/06/2017;24/06/2017;Entregado
22;10000172;21/06/2017;26/06/2017;25/06/2017;Entregado
23;10000173;22/06/2017;27/06/2017;26/06/2017;Entregado
24;10000174;23/06/2017;28/06/2017;27/06/2017;Entregado
25;10000175;24/06/2017;29/06/2017;28/06/2017;Entregado
26;10000176;25/06/2017;30/06/2017;;Espera
27;10000177;26/06/2017;1/07/2017;30/06/2017;Entregado
28;10000178;27/06/2017;2/07/2017;1/07/2017;Entregado
29;10000179;28/06/2017;3/07/2017;2/07/2017;Entregado
30;10000180;29/06/2017;4/07/2017;;Espera
31;10000181;30/06/2017;5/07/2017;4/07/2017;Entregado
32;10000182;1/07/2017;6/07/2017;;Espera
33;10000183;2/07/2017;7/07/2017;;Espera
34;10000184;3/07/2017;8/07/2017;;Espera
35;10000185;4/07/2017;9/07/2017;8/07/2017;Entregado
36;10000186;5/07/2017;10/07/2017;9/07/2017;Entregado
37;10000187;6/07/2017;11/07/2017;10/07/2017;Entregado
38;10000188;7/07/2017;12/07/2017;11/07/2017;Entregado
39;10000189;8/07/2017;13/07/2017;;Espera
40;10000190;9/07/2017;14/07/2017;;Espera
41;10000191;10/07/2017;15/07/2017;;Espera
42;10000192;11/07/2017;16/07/2017;;Espera
43;10000193;12/07/2017;17/07/2017;;Espera
44;10000194;13/07/2017;18/07/2017;17/07/2017;Entregado
45;10000195;14/07/2017;19/07/2017;18/07/2017;Entregado
46;10000196;15/07/2017;20/07/2017;;Espera
47;10000197;16/07/2017;21/07/2017;;Espera
48;10000198;17/07/2017;22/07/2017;21/07/2017;Entregado
49;10000199;18/07/2017;23/07/2017;22/07/2017;Entregado
50;10000200;19/07/2017;24/07/2017;;Espera
51;10000201;20/07/2017;25/07/2017;;Espera
52;10000202;21/07/2017;26/07/2017;25/07/2017;Entregado
53;10000203;22/07/2017;27/07/2017;;Espera
54;10000204;23/07/2017;28/07/2017;27/07/2017;Entregado
55;10000205;24/07/2017;29/07/2017;;Espera
56;10000206;25/07/2017;30/07/2017;;Espera
57;10000207;26/07/2017;31/07/2017;;Espera
58;10000208;27/07/2017;1/08/2017;;Espera
59;10000209;28/07/2017;2/08/2017;1/08/2017;Entregado
60;10000210;29/07/2017;3/08/2017;2/08/2017;Entregado
61;10000211;30/07/2017;4/08/2017;;Espera
62;10000212;31/07/2017;5/08/2017;4/08/2017;Entregado
63;10000213;1/08/2017;6/08/2017;5/08/2017;Entregado
64;10000214;2/08/2017;7/08/2017;;Espera
65;10000215;3/08/2017;8/08/2017;;Espera
66;10000216;4/08/2017;9/08/2017;8/08/2017;Entregado
67;10000217;5/08/2017;10/08/2017;;Espera
68;10000218;6/08/2017;11/08/2017;10/08/2017;Entregado
69;10000219;7/08/2017;12/08/2017;11/08/2017;Entregado
70;10000220;8/08/2017;13/08/2017;;Espera
71;10000221;9/08/2017;14/08/2017;13/08/2017;Entregado
72;10000222;10/08/2017;15/08/2017;;Espera
73;10000223;11/08/2017;16/08/2017;15/08/2017;Entregado
74;10000224;12/08/2017;17/08/2017;16/08/2017;Entregado
75;10000225;13/08/2017;18/08/2017;17/08/2017;Entregado
76;10000226;14/08/2017;19/08/2017;18/08/2017;Entregado
77;10000227;15/08/2017;20/08/2017;19/08/2017;Entregado
78;10000228;16/08/2017;21/08/2017;20/08/2017;Entregado
79;10000229;17/08/2017;22/08/2017;21/08/2017;Entregado
80;10000230;18/08/2017;23/08/2017;22/08/2017;Entregado
81;10000231;19/08/2017;24/08/2017;23/08/2017;Entregado
82;10000232;20/08/2017;25/08/2017;24/08/2017;Entregado
83;10000233;21/08/2017;26/08/2017;;Espera
84;10000234;22/08/2017;27/08/2017;26/08/2017;Entregado
85;10000235;23/08/2017;28/08/2017;27/08/2017;Entregado
86;10000236;24/08/2017;29/08/2017;28/08/2017;Entregado
87;10000237;25/08/2017;30/08/2017;29/08/2017;Entregado
88;10000238;26/08/2017;31/08/2017;;Espera
89;10000239;27/08/2017;1/09/2017;31/08/2017;Entregado
90;10000240;28/08/2017;2/09/2017;;Espera
91;10000241;29/08/2017;3/09/2017;2/09/2017;Entregado
92;10000242;30/08/2017;4/09/2017;;Espera
93;10000243;31/08/2017;5/09/2017;;Espera
94;10000244;1/09/2017;6/09/2017;;Espera
95;10000245;2/09/2017;7/09/2017;6/09/2017;Entregado
96;10000246;3/09/2017;8/09/2017;7/09/2017;Entregado
97;10000247;4/09/2017;9/09/2017;;Espera
98;10000248;5/09/2017;10/09/2017;9/09/2017;Entregado
99;10000249;6/09/2017;11/09/2017;10/09/2017;Entregado
100;10000250;7/09/2017;12/09/2017;;Espera
101;10000251;8/09/2017;13/09/2017;12/09/2017;Entregado
102;10000252;9/09/2017;14/09/2017;13/09/2017;Entregado
103;10000253;10/09/2017;15/09/2017;;Espera
104;10000254;11/09/2017;16/09/2017;15/09/2017;Entregado
105;10000255;12/09/2017;17/09/2017;16/09/2017;Entregado
106;10000256;13/09/2017;18/09/2017;17/09/2017;Entregado
107;10000257;14/09/2017;19/09/2017;18/09/2017;Entregado
108;10000258;15/09/2017;20/09/2017;;Espera
109;10000259;16/09/2017;21/09/2017;20/09/2017;Entregado
110;10000260;17/09/2017;22/09/2017;21/09/2017;Entregado
111;10000261;18/09/2017;23/09/2017;;Espera
112;10000262;19/09/2017;24/09/2017;;Espera
113;10000263;20/09/2017;25/09/2017;;Espera
114;10000264;21/09/2017;26/09/2017;;Espera
115;10000265;22/09/2017;27/09/2017;26/09/2017;Entregado
116;10000266;23/09/2017;28/09/2017;27/09/2017;Entregado
117;10000267;24/09/2017;29/09/2017;;Espera
118;10000268;25/09/2017;30/09/2017;;Espera
119;10000269;26/09/2017;1/10/2017;;Espera
120;10000270;27/09/2017;2/10/2017;;Espera
121;10000271;28/09/2017;3/10/2017;2/10/2017;Entregado
122;10000272;29/09/2017;4/10/2017;;Espera
123;10000273;30/09/2017;5/10/2017;4/10/2017;Entregado
124;10000274;1/10/2017;6/10/2017;;Espera
125;10000275;2/10/2017;7/10/2017;;Espera
126;10000276;3/10/2017;8/10/2017;;Espera
127;10000277;4/10/2017;9/10/2017;8/10/2017;Entregado
128;10000278;5/10/2017;10/10/2017;9/10/2017;Entregado
129;10000279;6/10/2017;11/10/2017;;Espera
130;10000280;7/10/2017;12/10/2017;11/10/2017;Entregado
131;10000281;8/10/2017;13/10/2017;12/10/2017;Entregado
132;10000282;9/10/2017;14/10/2017;;Espera
133;10000283;10/10/2017;15/10/2017;14/10/2017;Entregado
134;10000284;11/10/2017;16/10/2017;;Espera
135;10000285;12/10/2017;17/10/2017;;Espera
136;10000286;13/10/2017;18/10/2017;17/10/2017;Entregado
137;10000287;14/10/2017;19/10/2017;;Espera
138;10000288;15/10/2017;20/10/2017;;Espera
139;10000289;16/10/2017;21/10/2017;20/10/2017;Entregado
140;10000290;17/10/2017;22/10/2017;21/10/2017;Entregado
141;10000291;18/10/2017;23/10/2017;;Espera
142;10000292;19/10/2017;24/10/2017;23/10/2017;Entregado
143;10000293;20/10/2017;25/10/2017;24/10/2017;Entregado
144;10000294;21/10/2017;26/10/2017;;Espera
145;10000295;22/10/2017;27/10/2017;26/10/2017;Entregado
146;10000296;23/10/2017;28/10/2017;27/10/2017;Entregado
147;10000297;24/10/2017;29/10/2017;;Espera
148;10000298;25/10/2017;30/10/2017;;Espera
149;10000299;26/10/2017;31/10/2017;;Espera
150;10000300;27/10/2017;1/11/2017;;Espera
1;10000001;28/10/2017;2/11/2017;;Espera
2;10000002;29/10/2017;3/11/2017;2/11/2017;Entregado
3;10000003;30/10/2017;4/11/2017;;Espera
4;10000004;31/10/2017;5/11/2017;4/11/2017;Entregado
5;10000005;1/11/2017;6/11/2017;;Espera
6;10000006;2/11/2017;7/11/2017;6/11/2017;Entregado
7;10000007;3/11/2017;8/11/2017;;Espera
8;10000008;4/11/2017;9/11/2017;;Espera
9;10000009;5/11/2017;10/11/2017;;Espera
10;10000010;6/11/2017;11/11/2017;10/11/2017;Entregado
11;10000011;7/11/2017;12/11/2017;11/11/2017;Entregado
12;10000012;8/11/2017;13/11/2017;12/11/2017;Entregado
13;10000013;9/11/2017;14/11/2017;;Espera
14;10000014;10/11/2017;15/11/2017;14/11/2017;Entregado
15;10000015;11/11/2017;16/11/2017;15/11/2017;Entregado
16;10000016;12/11/2017;17/11/2017;16/11/2017;Entregado
17;10000017;13/11/2017;18/11/2017;17/11/2017;Entregado
18;10000018;14/11/2017;19/11/2017;18/11/2017;Entregado
19;10000019;15/11/2017;20/11/2017;19/11/2017;Entregado
20;10000020;16/11/2017;21/11/2017;;Espera
21;10000021;17/11/2017;22/11/2017;21/11/2017;Entregado
22;10000022;18/11/2017;23/11/2017;;Espera
23;10000023;19/11/2017;24/11/2017;23/11/2017;Entregado
24;10000024;20/11/2017;25/11/2017;;Espera
25;10000025;21/11/2017;26/11/2017;;Espera
26;10000026;22/11/2017;27/11/2017;26/11/2017;Entregado
27;10000027;23/11/2017;28/11/2017;27/11/2017;Entregado
28;10000028;24/11/2017;29/11/2017;28/11/2017;Entregado
29;10000029;25/11/2017;30/11/2017;;Espera
30;10000030;26/11/2017;1/12/2017;;Espera
31;10000031;27/11/2017;2/12/2017;1/12/2017;Entregado
32;10000032;28/11/2017;3/12/2017;2/12/2017;Entregado
33;10000033;29/11/2017;4/12/2017;3/12/2017;Entregado
34;10000034;30/11/2017;5/12/2017;;Espera
35;10000035;1/12/2017;6/12/2017;5/12/2017;Entregado
36;10000036;2/12/2017;7/12/2017;;Espera
37;10000037;3/12/2017;8/12/2017;;Espera
38;10000038;4/12/2017;9/12/2017;8/12/2017;Entregado
39;10000039;5/12/2017;10/12/2017;9/12/2017;Entregado
40;10000040;6/12/2017;11/12/2017;10/12/2017;Entregado
41;10000041;7/12/2017;12/12/2017;;Espera
42;10000042;8/12/2017;13/12/2017;;Espera
43;10000043;9/12/2017;14/12/2017;;Espera
44;10000044;10/12/2017;15/12/2017;;Espera
45;10000045;11/12/2017;16/12/2017;;Espera
46;10000046;12/12/2017;17/12/2017;16/12/2017;Entregado
47;10000047;13/12/2017;18/12/2017;17/12/2017;Entregado
48;10000048;14/12/2017;19/12/2017;18/12/2017;Entregado
49;10000049;15/12/2017;20/12/2017;19/12/2017;Entregado
50;10000050;16/12/2017;21/12/2017;20/12/2017;Entregado
51;10000051;17/12/2017;22/12/2017;21/12/2017;Entregado
52;10000052;18/12/2017;23/12/2017;;Espera
53;10000053;19/12/2017;24/12/2017;;Espera
54;10000054;20/12/2017;25/12/2017;;Espera
55;10000055;21/12/2017;26/12/2017;;Espera
56;10000056;22/12/2017;27/12/2017;26/12/2017;Entregado
57;10000057;23/12/2017;28/12/2017;;Espera
58;10000058;24/12/2017;29/12/2017;28/12/2017;Entregado
59;10000059;25/12/2017;30/12/2017;;Espera
60;10000060;26/12/2017;31/12/2017;30/12/2017;Entregado
61;10000061;27/12/2017;1/01/2018;;Espera
62;10000062;28/12/2017;2/01/2018;;Espera
63;10000063;29/12/2017;3/01/2018;2/01/2018;Entregado
64;10000064;30/12/2017;4/01/2018;3/01/2018;Entregado
65;10000065;31/12/2017;5/01/2018;4/01/2018;Entregado
66;10000066;1/01/2018;6/01/2018;;Espera
67;10000067;2/01/2018;7/01/2018;6/01/2018;Entregado
68;10000068;3/01/2018;8/01/2018;7/01/2018;Entregado
69;10000069;4/01/2018;9/01/2018;;Espera
70;10000070;5/01/2018;10/01/2018;;Espera
71;10000071;6/01/2018;11/01/2018;10/01/2018;Entregado
72;10000072;7/01/2018;12/01/2018;;Espera
73;10000073;8/01/2018;13/01/2018;12/01/2018;Entregado
74;10000074;9/01/2018;14/01/2018;13/01/2018;Entregado
75;10000075;10/01/2018;15/01/2018;;Espera
76;10000076;11/01/2018;16/01/2018;15/01/2018;Entregado
77;10000077;12/01/2018;17/01/2018;16/01/2018;Entregado
78;10000078;13/01/2018;18/01/2018;17/01/2018;Entregado
79;10000079;14/01/2018;19/01/2018;;Espera
80;10000080;15/01/2018;20/01/2018;19/01/2018;Entregado
81;10000081;16/01/2018;21/01/2018;;Espera
82;10000082;17/01/2018;22/01/2018;21/01/2018;Entregado
83;10000083;18/01/2018;23/01/2018;;Espera
84;10000084;19/01/2018;24/01/2018;23/01/2018;Entregado
85;10000085;20/01/2018;25/01/2018;24/01/2018;Entregado
86;10000086;21/01/2018;26/01/2018;;Espera
87;10000087;22/01/2018;27/01/2018;;Espera
88;10000088;23/01/2018;28/01/2018;27/01/2018;Entregado
89;10000089;24/01/2018;29/01/2018;;Espera
90;10000090;25/01/2018;30/01/2018;29/01/2018;Entregado
91;10000091;26/01/2018;31/01/2018;30/01/2018;Entregado
92;10000092;27/01/2018;1/02/2018;;Espera
93;10000093;28/01/2018;2/02/2018;1/02/2018;Entregado
94;10000094;29/01/2018;3/02/2018;;Espera
95;10000095;30/01/2018;4/02/2018;;Espera
96;10000096;31/01/2018;5/02/2018;4/02/2018;Entregado
97;10000097;1/02/2018;6/02/2018;;Espera
98;10000098;2/02/2018;7/02/2018;6/02/2018;Entregado
99;10000099;3/02/2018;8/02/2018;;Espera
100;10000100;4/02/2018;9/02/2018;8/02/2018;Entregado
101;10000101;5/02/2018;10/02/2018;;Espera
102;10000102;6/02/2018;11/02/2018;10/02/2018;Entregado
103;10000103;7/02/2018;12/02/2018;;Espera
104;10000104;8/02/2018;13/02/2018;;Espera
105;10000105;9/02/2018;14/02/2018;13/02/2018;Entregado
106;10000106;10/02/2018;15/02/2018;;Espera
107;10000107;11/02/2018;16/02/2018;;Espera
108;10000108;12/02/2018;17/02/2018;16/02/2018;Entregado
109;10000109;13/02/2018;18/02/2018;;Espera
110;10000110;14/02/2018;19/02/2018;18/02/2018;Entregado
111;10000111;15/02/2018;20/02/2018;;Espera
112;10000112;16/02/2018;21/02/2018;20/02/2018;Entregado
113;10000113;17/02/2018;22/02/2018;21/02/2018;Entregado
114;10000114;18/02/2018;23/02/2018;22/02/2018;Entregado
115;10000115;19/02/2018;24/02/2018;23/02/2018;Entregado
116;10000116;20/02/2018;25/02/2018;;Espera
117;10000117;21/02/2018;26/02/2018;;Espera
118;10000118;22/02/2018;27/02/2018;;Espera
119;10000119;23/02/2018;28/02/2018;;Espera
120;10000120;24/02/2018;1/03/2018;28/02/2018;Entregado
121;10000121;25/02/2018;2/03/2018;1/03/2018;Entregado
122;10000122;26/02/2018;3/03/2018;2/03/2018;Entregado
123;10000123;27/02/2018;4/03/2018;;Espera
124;10000124;28/02/2018;5/03/2018;4/03/2018;Entregado
125;10000125;1/03/2018;6/03/2018;5/03/2018;Entregado
126;10000126;2/03/2018;7/03/2018;;Espera
127;10000127;3/03/2018;8/03/2018;7/03/2018;Entregado
128;10000128;4/03/2018;9/03/2018;8/03/2018;Entregado
129;10000129;5/03/2018;10/03/2018;;Espera
130;10000130;6/03/2018;11/03/2018;10/03/2018;Entregado
131;10000131;7/03/2018;12/03/2018;11/03/2018;Entregado
132;10000132;8/03/2018;13/03/2018;;Espera
133;10000133;9/03/2018;14/03/2018;;Espera
134;10000134;10/03/2018;15/03/2018;;Espera
135;10000135;11/03/2018;16/03/2018;15/03/2018;Entregado
136;10000136;12/03/2018;17/03/2018;;Espera
137;10000137;13/03/2018;18/03/2018;17/03/2018;Entregado
138;10000138;14/03/2018;19/03/2018;18/03/2018;Entregado
139;10000139;15/03/2018;20/03/2018;;Espera
140;10000140;16/03/2018;21/03/2018;;Espera
141;10000141;17/03/2018;22/03/2018;;Espera
142;10000142;18/03/2018;23/03/2018;;Espera
143;10000143;19/03/2018;24/03/2018;23/03/2018;Entregado
144;10000144;20/03/2018;25/03/2018;24/03/2018;Entregado
145;10000145;21/03/2018;26/03/2018;25/03/2018;Entregado
146;10000146;22/03/2018;27/03/2018;;Espera
147;10000147;23/03/2018;28/03/2018;27/03/2018;Entregado
148;10000148;24/03/2018;29/03/2018;28/03/2018;Entregado
149;10000149;25/03/2018;30/03/2018;29/03/2018;Entregado
150;10000150;26/03/2018;31/03/2018;30/03/2018;Entregado
1;10000151;27/03/2018;1/04/2018;31/03/2018;Entregado
2;10000152;28/03/2018;2/04/2018;;Espera
3;10000153;29/03/2018;3/04/2018;;Espera
4;10000154;30/03/2018;4/04/2018;;Espera
5;10000155;31/03/2018;5/04/2018;;Espera
6;10000156;1/04/2018;6/04/2018;5/04/2018;Entregado
7;10000157;2/04/2018;7/04/2018;;Espera
8;10000158;3/04/2018;8/04/2018;7/04/2018;Entregado
9;10000159;4/04/2018;9/04/2018;;Espera
10;10000160;5/04/2018;10/04/2018;9/04/2018;Entregado
11;10000161;6/04/2018;11/04/2018;10/04/2018;Entregado
12;10000162;7/04/2018;12/04/2018;11/04/2018;Entregado
13;10000163;8/04/2018;13/04/2018;;Espera
14;10000164;9/04/2018;14/04/2018;;Espera
15;10000165;10/04/2018;15/04/2018;14/04/2018;Entregado
16;10000166;11/04/2018;16/04/2018;15/04/2018;Entregado
17;10000167;12/04/2018;17/04/2018;;Espera
18;10000168;13/04/2018;18/04/2018;17/04/2018;Entregado
19;10000169;14/04/2018;19/04/2018;;Espera
20;10000170;15/04/2018;20/04/2018;;Espera
21;10000171;16/04/2018;21/04/2018;;Espera
22;10000172;17/04/2018;22/04/2018;;Espera
23;10000173;18/04/2018;23/04/2018;;Espera
24;10000174;19/04/2018;24/04/2018;23/04/2018;Entregado
25;10000175;20/04/2018;25/04/2018;24/04/2018;Entregado
26;10000176;21/04/2018;26/04/2018;25/04/2018;Entregado
27;10000177;22/04/2018;27/04/2018;;Espera
28;10000178;23/04/2018;28/04/2018;27/04/2018;Entregado
29;10000179;24/04/2018;29/04/2018;;Espera
30;10000180;25/04/2018;30/04/2018;29/04/2018;Entregado
31;10000181;26/04/2018;1/05/2018;30/04/2018;Entregado
32;10000182;27/04/2018;2/05/2018;;Espera
33;10000183;28/04/2018;3/05/2018;2/05/2018;Entregado
34;10000184;29/04/2018;4/05/2018;;Espera
35;10000185;30/04/2018;5/05/2018;;Espera
