CODIGOBARRAS;NITPROVEEDOR;ESEXCLUSIVO;PRECIOUNITARIO;PRECIOUNIDADMEDIDA
1000000000077;10000078;0;5770;177
1000000000078;10000079;0;5780;178
1000000000079;10000080;1;5790;179
1000000000080;10000081;1;5800;180
1000000000081;10000082;0;5810;181
1000000000082;10000083;1;5820;182
1000000000083;10000084;0;5830;183
1000000000084;10000085;0;5840;184
1000000000085;10000086;0;5850;185
1000000000086;10000087;1;5860;186
1000000000087;10000088;0;5870;187
1000000000088;10000089;0;5880;188
1000000000089;10000090;1;5890;189
1000000000090;10000091;1;5900;190
1000000000091;10000092;0;5910;191
1000000000092;10000093;1;5920;192
1000000000093;10000094;0;5930;193
1000000000094;10000095;0;5940;194
1000000000095;10000096;0;5950;195
1000000000096;10000097;1;5960;196
1000000000097;10000098;0;5970;197
1000000000098;10000099;0;5980;198
1000000000099;10000100;1;5990;199
1000000000100;10000101;1;6000;200
1000000000101;10000102;0;6010;201
1000000000102;10000103;1;6020;202
1000000000103;10000104;0;6030;203
1000000000104;10000105;0;6040;204
1000000000105;10000106;0;6050;205
1000000000106;10000107;1;6060;206
1000000000107;10000108;0;6070;207
1000000000108;10000109;0;6080;208
1000000000109;10000110;1;6090;209
1000000000110;10000111;1;6100;210
1000000000111;10000112;0;6110;211
1000000000112;10000113;1;6120;212
1000000000113;10000114;0;6130;213
1000000000114;10000115;0;6140;214
1000000000115;10000116;0;6150;215
1000000000116;10000117;1;6160;216
1000000000117;10000118;0;6170;217
1000000000118;10000119;0;6180;218
1000000000119;10000120;1;6190;219
1000000000120;10000121;1;6200;220
1000000000121;10000122;0;6210;221
1000000000122;10000123;1;6220;222
1000000000123;10000124;0;6230;223
1000000000124;10000125;0;6240;224
1000000000125;10000126;0;6250;225
1000000000126;10000127;1;6260;226
1000000000127;10000128;0;6270;227
1000000000128;10000129;0;6280;228
1000000000129;10000130;1;6290;229
1000000000130;10000131;1;6300;230
1000000000131;10000132;0;6310;231
1000000000132;10000133;1;6320;232
1000000000133;10000134;0;6330;233
1000000000134;10000135;0;6340;234
1000000000135;10000136;0;6350;235
1000000000136;10000137;1;6360;236
1000000000137;10000138;0;6370;237
1000000000138;10000139;0;6380;238
1000000000139;10000140;1;6390;239
1000000000140;10000141;1;6400;240
1000000000141;10000142;0;6410;241
1000000000142;10000143;1;6420;242
1000000000143;10000144;0;6430;243
1000000000144;10000145;0;6440;244
1000000000145;10000146;0;6450;245
1000000000146;10000147;1;6460;246
1000000000147;10000148;0;6470;247
1000000000148;10000149;0;6480;248
1000000000149;10000150;1;6490;249
1000000000150;10000151;1;6500;250
1000000000151;10000152;0;6510;251
1000000000152;10000153;1;6520;252
1000000000153;10000154;0;6530;253
1000000000154;10000155;0;6540;254
1000000000155;10000156;0;6550;255
1000000000156;10000157;1;6560;256
1000000000157;10000158;0;6570;257
1000000000158;10000159;0;6580;258
1000000000159;10000160;1;6590;259
1000000000160;10000161;1;6600;260
1000000000161;10000162;0;6610;261
1000000000162;10000163;1;6620;262
1000000000163;10000164;0;6630;263
1000000000164;10000165;0;6640;264
1000000000165;10000166;0;6650;265
1000000000166;10000167;1;6660;266
1000000000167;10000168;0;6670;267
1000000000168;10000169;0;6680;268
1000000000169;10000170;1;6690;269
1000000000170;10000171;1;6700;270
1000000000171;10000172;0;6710;271
1000000000172;10000173;1;6720;272
1000000000173;10000174;0;6730;273
1000000000174;10000175;0;6740;274
1000000000175;10000176;0;6750;275
1000000000176;10000177;1;6760;276
1000000000177;10000178;0;6770;277
1000000000178;10000179;0;6780;278
1000000000179;10000180;1;6790;279
1000000000180;10000181;1;6800;280
1000000000181;10000182;0;6810;281
1000000000182;10000183;1;6820;282
1000000000183;10000184;0;6830;283
1000000000184;10000185;0;6840;284
1000000000185;10000186;0;6850;285
1000000000186;10000187;1;6860;286
1000000000187;10000188;0;6870;287
1000000000188;10000189;0;6880;288
1000000000189;10000190;1;6890;289
1000000000190;10000191;1;6900;290
1000000000191;10000192;0;6910;291
1000000000192;10000193;1;6920;292
1000000000193;10000194;0;6930;293
1000000000194;10000195;0;6940;294
1000000000195;10000196;0;6950;295
1000000000196;10000197;1;6960;296
1000000000197;10000198;0;6970;297
1000000000198;10000199;0;6980;298
1000000000199;10000200;1;6990;299
1000000000200;10000201;1;7000;300
1000000000201;10000202;0;7010;301
1000000000202;10000203;1;7020;302
1000000000203;10000204;0;7030;303
1000000000204;10000205;0;7040;304
1000000000205;10000206;0;7050;305
1000000000206;10000207;1;7060;306
1000000000207;10000208;0;7070;307
1000000000208;10000209;0;7080;308
1000000000209;10000210;1;7090;309
1000000000210;10000211;1;7100;310
1000000000211;10000212;0;7110;311
1000000000212;10000213;1;7120;312
1000000000213;10000214;0;7130;313
1000000000214;10000215;0;7140;314
1000000000215;10000216;0;7150;315
1000000000216;10000217;1;7160;316
1000000000217;10000218;0;7170;317
1000000000218;10000219;0;7180;318
1000000000219;10000220;1;7190;319
1000000000220;10000221;1;7200;320
1000000000221;10000222;0;7210;321
1000000000222;10000223;1;7220;322
1000000000223;10000224;0;7230;323
1000000000224;10000225;0;7240;324
1000000000225;10000226;0;7250;325
1000000000226;10000227;1;7260;326
1000000000227;10000228;0;7270;327
1000000000228;10000229;0;7280;328
1000000000229;10000230;1;7290;329
1000000000230;10000231;1;7300;330
1000000000231;10000232;0;7310;331
1000000000232;10000233;1;7320;332
1000000000233;10000234;0;7330;333
1000000000234;10000235;0;7340;334
1000000000235;10000236;0;7350;335
1000000000236;10000237;1;7360;336
1000000000237;10000238;0;7370;337
1000000000238;10000239;0;7380;338
1000000000239;10000240;1;7390;339
1000000000240;10000241;1;7400;340
1000000000241;10000242;0;7410;341
1000000000242;10000243;1;7420;342
1000000000243;10000244;0;7430;343
1000000000244;10000245;0;7440;344
1000000000245;10000246;0;7450;345
1000000000246;10000247;1;7460;346
1000000000247;10000248;0;7470;347
1000000000248;10000249;0;7480;348
1000000000249;10000250;1;7490;349
1000000000250;10000251;1;7500;350
1000000000251;10000252;0;7510;351
1000000000252;10000253;1;7520;352
1000000000253;10000254;0;7530;353
1000000000254;10000255;0;7540;354
1000000000255;10000256;0;7550;355
1000000000256;10000257;1;7560;356
1000000000257;10000258;0;7570;357
1000000000258;10000259;0;7580;358
1000000000259;10000260;1;7590;359
1000000000260;10000261;1;7600;360
1000000000261;10000262;0;7610;361
1000000000262;10000263;1;7620;362
1000000000263;10000264;0;7630;363
1000000000264;10000265;0;7640;364
1000000000265;10000266;0;7650;365
1000000000266;10000267;1;7660;366
1000000000267;10000268;0;7670;367
1000000000268;10000269;0;7680;368
1000000000269;10000270;1;7690;369
1000000000270;10000271;1;7700;370
1000000000271;10000272;0;7710;371
1000000000272;10000273;1;7720;372
1000000000273;10000274;0;7730;373
1000000000274;10000275;0;7740;374
1000000000275;10000276;0;7750;375
1000000000276;10000277;1;7760;376
1000000000277;10000278;0;7770;377
1000000000278;10000279;0;7780;378
1000000000279;10000280;1;7790;379
1000000000280;10000281;1;7800;380
1000000000281;10000282;0;7810;381
1000000000282;10000283;1;7820;382
1000000000283;10000284;0;7830;383
1000000000284;10000285;0;7840;384
1000000000285;10000286;0;7850;385
1000000000286;10000287;1;7860;386
1000000000287;10000288;0;7870;387
1000000000288;10000289;0;7880;388
1000000000289;10000290;1;7890;389
1000000000290;10000291;1;7900;390
1000000000291;10000292;0;7910;391
1000000000292;10000293;1;7920;392
1000000000293;10000294;0;7930;393
1000000000294;10000295;0;7940;394
1000000000295;10000296;0;7950;395
1000000000296;10000297;1;7960;396
1000000000297;10000298;0;7970;397
1000000000298;10000299;0;7980;398
1000000000299;10000300;1;7990;399
1000000000300;10000001;1;8000;400
1000000000301;10000002;0;8010;401
1000000000302;10000003;1;8020;402
1000000000303;10000004;0;8030;403
1000000000304;10000005;0;8040;404
1000000000305;10000006;0;8050;405
1000000000306;10000007;1;8060;406
1000000000307;10000008;0;8070;407
1000000000308;10000009;0;8080;408
1000000000309;10000010;1;8090;409
1000000000310;10000011;1;8100;410
1000000000311;10000012;0;8110;411
1000000000312;10000013;1;8120;412
1000000000313;10000014;0;8130;413
1000000000314;10000015;0;8140;414
1000000000315;10000016;0;8150;415
1000000000316;10000017;1;8160;416
1000000000317;10000018;0;8170;417
1000000000318;10000019;0;8180;418
1000000000319;10000020;1;8190;419
1000000000320;10000021;1;8200;420
1000000000321;10000022;0;8210;421
1000000000322;10000023;1;8220;422
1000000000323;10000024;0;8230;423
1000000000324;10000025;0;8240;424
1000000000325;10000026;0;8250;425
1000000000326;10000027;1;8260;426
1000000000327;10000028;0;8270;427
1000000000328;10000029;0;8280;428
1000000000329;10000030;1;8290;429
1000000000330;10000031;1;8300;430
1000000000331;10000032;0;8310;431
1000000000332;10000033;1;8320;432
1000000000333;10000034;0;8330;433
1000000000334;10000035;0;8340;434
1000000000335;10000036;0;8350;435
1000000000336;10000037;1;8360;436
1000000000337;10000038;0;8370;437
1000000000338;10000039;0;8380;438
1000000000339;10000040;1;8390;439
1000000000340;10000041;1;8400;440
1000000000341;10000042;0;8410;441
1000000000342;10000043;1;8420;442
1000000000343;10000044;0;8430;443
1000000000344;10000045;0;8440;444
1000000000345;10000046;0;8450;445
1000000000346;10000047;1;8460;446
1000000000347;10000048;0;8470;447
1000000000348;10000049;0;8480;448
1000000000349;10000050;1;8490;449
1000000000350;10000051;1;8500;450
1000000000351;10000052;0;8510;451
1000000000352;10000053;1;8520;452
1000000000353;10000054;0;8530;453
1000000000354;10000055;0;8540;454
1000000000355;10000056;0;8550;455
1000000000356;10000057;1;8560;456
1000000000357;10000058;0;8570;457
1000000000358;10000059;0;8580;458
1000000000359;10000060;1;8590;459
1000000000360;10000061;1;8600;460
1000000000361;10000062;0;8610;461
1000000000362;10000063;1;8620;462
1000000000363;10000064;0;8630;463
1000000000364;10000065;0;8640;464
1000000000365;10000066;0;8650;465
1000000000366;10000067;1;8660;466
1000000000367;10000068;0;8670;467
1000000000368;10000069;0;8680;468
1000000000369;10000070;1;8690;469
1000000000370;10000071;1;8700;470
1000000000371;10000072;0;8710;471
1000000000372;10000073;1;8720;472
1000000000373;10000074;0;8730;473
1000000000374;10000075;0;8740;474
1000000000375;10000076;0;8750;475
1000000000376;10000077;1;8760;476
1000000000377;10000078;0;8770;477
1000000000378;10000079;0;8780;478
1000000000379;10000080;1;8790;479
1000000000380;10000081;1;8800;480
1000000000381;10000082;0;8810;481
1000000000382;10000083;1;8820;482
1000000000383;10000084;0;8830;483
1000000000384;10000085;0;8840;484
1000000000385;10000086;0;8850;485
1000000000386;10000087;1;8860;486
1000000000387;10000088;0;8870;487
1000000000388;10000089;0;8880;488
1000000000389;10000090;1;8890;489
1000000000390;10000091;1;8900;490
1000000000391;10000092;0;8910;491
1000000000392;10000093;1;8920;492
1000000000393;10000094;0;8930;493
1000000000394;10000095;0;8940;494
1000000000395;10000096;0;8950;495
1000000000396;10000097;1;8960;496
1000000000397;10000098;0;8970;497
1000000000398;10000099;0;8980;498
1000000000399;10000100;1;8990;499
1000000000400;10000101;1;9000;500
1000000000401;10000102;0;9010;501
1000000000402;10000103;1;9020;502
1000000000403;10000104;0;9030;503
1000000000404;10000105;0;9040;504
1000000000405;10000106;0;9050;505
1000000000406;10000107;1;9060;506
1000000000407;10000108;0;9070;507
1000000000408;10000109;0;9080;508
1000000000409;10000110;1;9090;509
1000000000410;10000111;1;9100;510
1000000000411;10000112;0;9110;511
1000000000412;10000113;1;9120;512
1000000000413;10000114;0;9130;513
1000000000414;10000115;0;9140;514
1000000000415;10000116;0;9150;515
1000000000416;10000117;1;9160;516
1000000000417;10000118;0;9170;517
1000000000418;10000119;0;9180;518
1000000000419;10000120;1;9190;519
1000000000420;10000121;1;9200;520
1000000000421;10000122;0;9210;521
1000000000422;10000123;1;9220;522
1000000000423;10000124;0;9230;523
1000000000424;10000125;0;9240;524
1000000000425;10000126;0;9250;525
1000000000426;10000127;1;9260;526
1000000000427;10000128;0;9270;527
1000000000428;10000129;0;9280;528
1000000000429;10000130;1;9290;529
1000000000430;10000131;1;9300;530
1000000000431;10000132;0;9310;531
1000000000432;10000133;1;9320;532
1000000000433;10000134;0;9330;533
1000000000434;10000135;0;9340;534
1000000000435;10000136;0;9350;535
1000000000436;10000137;1;9360;536
1000000000437;10000138;0;9370;537
1000000000438;10000139;0;9380;538
1000000000439;10000140;1;9390;539
1000000000440;10000141;1;9400;540
1000000000441;10000142;0;9410;541
1000000000442;10000143;1;9420;542
1000000000443;10000144;0;9430;543
1000000000444;10000145;0;9440;544
1000000000445;10000146;0;9450;545
1000000000446;10000147;1;9460;546
1000000000447;10000148;0;9470;547
1000000000448;10000149;0;9480;548
1000000000449;10000150;1;9490;549
1000000000450;10000151;1;9500;550
1000000000451;10000152;0;9510;551
1000000000452;10000153;1;9520;552
1000000000453;10000154;0;9530;553
1000000000454;10000155;0;9540;554
1000000000455;10000156;0;9550;555
1000000000456;10000157;1;9560;556
1000000000457;10000158;0;9570;557
1000000000458;10000159;0;9580;558
1000000000459;10000160;1;9590;559
1000000000460;10000161;1;9600;560
1000000000461;10000162;0;9610;561
1000000000462;10000163;1;9620;562
1000000000463;10000164;0;9630;563
1000000000464;10000165;0;9640;564
1000000000465;10000166;0;9650;565
1000000000466;10000167;1;9660;566
1000000000467;10000168;0;9670;567
1000000000468;10000169;0;9680;568
1000000000469;10000170;1;9690;569
1000000000470;10000171;1;9700;570
1000000000471;10000172;0;9710;571
1000000000472;10000173;1;9720;572
1000000000473;10000174;0;9730;573
1000000000474;10000175;0;9740;574
1000000000475;10000176;0;9750;575
1000000000476;10000177;1;9760;576
1000000000477;10000178;0;9770;577
1000000000478;10000179;0;9780;578
1000000000479;10000180;1;9790;579
1000000000480;10000181;1;9800;580
1000000000481;10000182;0;9810;581
1000000000482;10000183;1;9820;582
1000000000483;10000184;0;9830;583
1000000000484;10000185;0;9840;584
1000000000485;10000186;0;9850;585
1000000000486;10000187;1;9860;586
1000000000487;10000188;0;9870;587
1000000000488;10000189;0;9880;588
1000000000489;10000190;1;9890;589
1000000000490;10000191;1;9900;590
1000000000491;10000192;0;9910;591
1000000000492;10000193;1;9920;592
1000000000493;10000194;0;9930;593
1000000000494;10000195;0;9940;594
1000000000495;10000196;0;9950;595
1000000000496;10000197;1;9960;596
1000000000497;10000198;0;9970;597
1000000000498;10000199;0;9980;598
1000000000499;10000200;1;9990;599
1000000000500;10000201;1;10000;600
1000000000501;10000202;0;10010;601
1000000000502;10000203;1;10020;602
1000000000503;10000204;0;10030;603
1000000000504;10000205;0;10040;604
1000000000505;10000206;0;10050;605
1000000000506;10000207;1;10060;606
1000000000507;10000208;0;10070;607
1000000000508;10000209;0;10080;608
1000000000509;10000210;1;10090;609
1000000000510;10000211;1;10100;610
1000000000511;10000212;0;10110;611
1000000000512;10000213;1;10120;612
1000000000513;10000214;0;10130;613
1000000000514;10000215;0;10140;614
1000000000515;10000216;0;10150;615
1000000000516;10000217;1;10160;616
1000000000517;10000218;0;10170;617
1000000000518;10000219;0;10180;618
1000000000519;10000220;1;10190;619
1000000000520;10000221;1;10200;620
1000000000521;10000222;0;10210;621
1000000000522;10000223;1;10220;622
1000000000523;10000224;0;10230;623
1000000000524;10000225;0;10240;624
1000000000525;10000226;0;10250;625
1000000000526;10000227;1;10260;626
1000000000527;10000228;0;10270;627
1000000000528;10000229;0;10280;628
1000000000529;10000230;1;10290;629
1000000000530;10000231;1;10300;630
1000000000531;10000232;0;10310;631
1000000000532;10000233;1;10320;632
1000000000533;10000234;0;10330;633
1000000000534;10000235;0;10340;634
1000000000535;10000236;0;10350;635
1000000000536;10000237;1;10360;636
1000000000537;10000238;0;10370;637
1000000000538;10000239;0;10380;638
1000000000539;10000240;1;10390;639
1000000000540;10000241;1;10400;640
1000000000541;10000242;0;10410;641
1000000000542;10000243;1;10420;642
1000000000543;10000244;0;10430;643
1000000000544;10000245;0;10440;644
1000000000545;10000246;0;10450;645
1000000000546;10000247;1;10460;646
1000000000547;10000248;0;10470;647
1000000000548;10000249;0;10480;648
1000000000549;10000250;1;10490;649
1000000000550;10000251;1;10500;650
1000000000551;10000252;0;10510;651
1000000000552;10000253;1;10520;652
1000000000553;10000254;0;10530;653
1000000000554;10000255;0;10540;654
1000000000555;10000256;0;10550;655
1000000000556;10000257;1;10560;656
1000000000557;10000258;0;10570;657
1000000000558;10000259;0;10580;658
1000000000559;10000260;1;10590;659
1000000000560;10000261;1;10600;660
1000000000561;10000262;0;10610;661
1000000000562;10000263;1;10620;662
1000000000563;10000264;0;10630;663
1000000000564;10000265;0;10640;664
1000000000565;10000266;0;10650;665
1000000000566;10000267;1;10660;666
1000000000567;10000268;0;10670;667
1000000000568;10000269;0;10680;668
1000000000569;10000270;1;10690;669
1000000000570;10000271;1;10700;670
1000000000571;10000272;0;10710;671
1000000000572;10000273;1;10720;672
1000000000573;10000274;0;10730;673
1000000000574;10000275;0;10740;674
1000000000575;10000276;0;10750;675
1000000000576;10000277;1;10760;676
1000000000577;10000278;0;10770;677
1000000000578;10000279;0;10780;678
1000000000579;10000280;1;10790;679
1000000000580;10000281;1;10800;680
1000000000581;10000282;0;10810;681
1000000000582;10000283;1;10820;682
1000000000583;10000284;0;10830;683
1000000000584;10000285;0;10840;684
1000000000585;10000286;0;10850;685
1000000000586;10000287;1;10860;686
1000000000587;10000288;0;10870;687
1000000000588;10000289;0;10880;688
1000000000589;10000290;1;10890;689
1000000000590;10000291;1;10900;690
1000000000591;10000292;0;10910;691
1000000000592;10000293;1;10920;692
1000000000593;10000294;0;10930;693
1000000000594;10000295;0;10940;694
1000000000595;10000296;0;10950;695
1000000000596;10000297;1;10960;696
1000000000597;10000298;0;10970;697
1000000000598;10000299;0;10980;698
1000000000599;10000300;1;10990;699
1000000000600;10000001;1;11000;700
1000000000601;10000002;0;11010;701
1000000000602;10000003;1;11020;702
1000000000603;10000004;0;11030;703
1000000000604;10000005;0;11040;704
1000000000605;10000006;0;11050;705
1000000000606;10000007;1;11060;706
1000000000607;10000008;0;11070;707
1000000000608;10000009;0;11080;708
1000000000609;10000010;1;11090;709
1000000000610;10000011;1;11100;710
1000000000611;10000012;0;11110;711
1000000000612;10000013;1;11120;712
1000000000613;10000014;0;11130;713
1000000000614;10000015;0;11140;714
1000000000615;10000016;0;11150;715
1000000000616;10000017;1;11160;716
1000000000617;10000018;0;11170;717
1000000000618;10000019;0;11180;718
1000000000619;10000020;1;11190;719
1000000000620;10000021;1;11200;720
1000000000621;10000022;0;11210;721
1000000000622;10000023;1;11220;722
1000000000623;10000024;0;11230;723
1000000000624;10000025;0;11240;724
1000000000625;10000026;0;11250;725
1000000000626;10000027;1;11260;726
1000000000627;10000028;0;11270;727
1000000000628;10000029;0;11280;728
1000000000629;10000030;1;11290;729
1000000000630;10000031;1;11300;730
1000000000631;10000032;0;11310;731
1000000000632;10000033;1;11320;732
1000000000633;10000034;0;11330;733
1000000000634;10000035;0;11340;734
1000000000635;10000036;0;11350;735
1000000000636;10000037;1;11360;736
1000000000637;10000038;0;11370;737
1000000000638;10000039;0;11380;738
1000000000639;10000040;1;11390;739
1000000000640;10000041;1;11400;740
1000000000641;10000042;0;11410;741
1000000000642;10000043;1;11420;742
1000000000643;10000044;0;11430;743
1000000000644;10000045;0;11440;744
1000000000645;10000046;0;11450;745
1000000000646;10000047;1;11460;746
1000000000647;10000048;0;11470;747
1000000000648;10000049;0;11480;748
1000000000649;10000050;1;11490;749
1000000000650;10000051;1;11500;750
1000000000651;10000052;0;11510;751
1000000000652;10000053;1;11520;752
1000000000653;10000054;0;11530;753
1000000000654;10000055;0;11540;754
1000000000655;10000056;0;11550;755
1000000000656;10000057;1;11560;756
1000000000657;10000058;0;11570;757
1000000000658;10000059;0;11580;758
1000000000659;10000060;1;11590;759
1000000000660;10000061;1;11600;760
1000000000661;10000062;0;11610;761
1000000000662;10000063;1;11620;762
1000000000663;10000064;0;11630;763
1000000000664;10000065;0;11640;764
1000000000665;10000066;0;11650;765
1000000000666;10000067;1;11660;766
1000000000667;10000068;0;11670;767
1000000000668;10000069;0;11680;768
1000000000669;10000070;1;11690;769
1000000000670;10000071;1;11700;770
1000000000671;10000072;0;11710;771
1000000000672;10000073;1;11720;772
1000000000673;10000074;0;11730;773
1000000000674;10000075;0;11740;774
1000000000675;10000076;0;11750;775
1000000000676;10000077;1;11760;776
1000000000677;10000078;0;11770;777
1000000000678;10000079;0;11780;778
1000000000679;10000080;1;11790;779
1000000000680;10000081;1;11800;780
1000000000681;10000082;0;11810;781
1000000000682;10000083;1;11820;782
1000000000683;10000084;0;11830;783
1000000000684;10000085;0;11840;784
1000000000685;10000086;0;11850;785
1000000000686;10000087;1;11860;786
1000000000687;10000088;0;11870;787
1000000000688;10000089;0;11880;788
1000000000689;10000090;1;11890;789
1000000000690;10000091;1;11900;790
1000000000691;10000092;0;11910;791
1000000000692;10000093;1;11920;792
1000000000693;10000094;0;11930;793
1000000000694;10000095;0;11940;794
1000000000695;10000096;0;11950;795
1000000000696;10000097;1;11960;796
1000000000697;10000098;0;11970;797
1000000000698;10000099;0;11980;798
1000000000699;10000100;1;11990;799
1000000000700;10000101;1;12000;800
1000000000701;10000102;0;12010;801
1000000000702;10000103;1;12020;802
1000000000703;10000104;0;12030;803
1000000000704;10000105;0;12040;804
1000000000705;10000106;0;12050;805
1000000000706;10000107;1;12060;806
1000000000707;10000108;0;12070;807
1000000000708;10000109;0;12080;808
1000000000709;10000110;1;12090;809
1000000000710;10000111;1;12100;810
1000000000711;10000112;0;12110;811
1000000000712;10000113;1;12120;812
1000000000713;10000114;0;12130;813
1000000000714;10000115;0;12140;814
1000000000715;10000116;0;12150;815
1000000000716;10000117;1;12160;816
1000000000717;10000118;0;12170;817
1000000000718;10000119;0;12180;818
1000000000719;10000120;1;12190;819
1000000000720;10000121;1;12200;820
1000000000721;10000122;0;12210;821
1000000000722;10000123;1;12220;822
1000000000723;10000124;0;12230;823
1000000000724;10000125;0;12240;824
1000000000725;10000126;0;12250;825
1000000000726;10000127;1;12260;826
1000000000727;10000128;0;12270;827
1000000000728;10000129;0;12280;828
1000000000729;10000130;1;12290;829
1000000000730;10000131;1;12300;830
1000000000731;10000132;0;12310;831
1000000000732;10000133;1;12320;832
1000000000733;10000134;0;12330;833
1000000000734;10000135;0;12340;834
1000000000735;10000136;0;12350;835
1000000000736;10000137;1;12360;836
1000000000737;10000138;0;12370;837
1000000000738;10000139;0;12380;838
1000000000739;10000140;1;12390;839
1000000000740;10000141;1;12400;840
1000000000741;10000142;0;12410;841
1000000000742;10000143;1;12420;842
1000000000743;10000144;0;12430;843
1000000000744;10000145;0;12440;844
1000000000745;10000146;0;12450;845
1000000000746;10000147;1;12460;846
1000000000747;10000148;0;12470;847
1000000000748;10000149;0;12480;848
1000000000749;10000150;1;12490;849
1000000000750;10000151;1;12500;850
1000000000751;10000152;0;12510;851
1000000000752;10000153;1;12520;852
1000000000753;10000154;0;12530;853
1000000000754;10000155;0;12540;854
1000000000755;10000156;0;12550;855
1000000000756;10000157;1;12560;856
1000000000757;10000158;0;12570;857
1000000000758;10000159;0;12580;858
1000000000759;10000160;1;12590;859
1000000000760;10000161;1;12600;860
1000000000761;10000162;0;12610;861
1000000000762;10000163;1;12620;862
1000000000763;10000164;0;12630;863
1000000000764;10000165;0;12640;864
1000000000765;10000166;0;12650;865
1000000000766;10000167;1;12660;866
1000000000767;10000168;0;12670;867
1000000000768;10000169;0;12680;868
1000000000769;10000170;1;12690;869
1000000000770;10000171;1;12700;870
1000000000771;10000172;0;12710;871
1000000000772;10000173;1;12720;872
1000000000773;10000174;0;12730;873
1000000000774;10000175;0;12740;874
1000000000775;10000176;0;12750;875
1000000000776;10000177;1;12760;876
1000000000777;10000178;0;12770;877
1000000000778;10000179;0;12780;878
1000000000779;10000180;1;12790;879
1000000000780;10000181;1;12800;880
1000000000781;10000182;0;12810;881
1000000000782;10000183;1;12820;882
1000000000783;10000184;0;12830;883
1000000000784;10000185;0;12840;884
1000000000785;10000186;0;12850;885
1000000000786;10000187;1;12860;886
1000000000787;10000188;0;12870;887
1000000000788;10000189;0;12880;888
1000000000789;10000190;1;12890;889
1000000000790;10000191;1;12900;890
1000000000791;10000192;0;12910;891
1000000000792;10000193;1;12920;892
1000000000793;10000194;0;12930;893
1000000000794;10000195;0;12940;894
1000000000795;10000196;0;12950;895
1000000000796;10000197;1;12960;896
1000000000797;10000198;0;12970;897
1000000000798;10000199;0;12980;898
1000000000799;10000200;1;12990;899
1000000000800;10000201;1;13000;900
1000000000801;10000202;0;13010;901
1000000000802;10000203;1;13020;902
1000000000803;10000204;0;13030;903
1000000000804;10000205;0;13040;904
1000000000805;10000206;0;13050;905
1000000000806;10000207;1;13060;906
1000000000807;10000208;0;13070;907
1000000000808;10000209;0;13080;908
1000000000809;10000210;1;13090;909
1000000000810;10000211;1;13100;910
1000000000811;10000212;0;13110;911
1000000000812;10000213;1;13120;912
1000000000813;10000214;0;13130;913
1000000000814;10000215;0;13140;914
1000000000815;10000216;0;13150;915
