IDSUCURSAL;CODIGOBARRAS;NOMBRE;FECHAINICIO;FECHAFIN;TIPOPROMOCION;VALOR1;VALOR2
60;1000000000209;Fixflex;30/07/2017;30/07/2018;5;8594;15
61;1000000000210;Tresom;31/07/2017;31/07/2018;1;9306;0
62;1000000000211;Y-find;1/08/2017;1/08/2018;2;5262;59
63;1000000000212;Cardguard;2/08/2017;2/08/2018;3;5675;77
64;1000000000213;Zoolab;3/08/2017;3/08/2018;4;7037;71
65;1000000000214;Job;4/08/2017;4/08/2018;5;2314;52
66;1000000000215;Regrant;5/08/2017;5/08/2018;1;9054;95
67;1000000000216;Cookley;6/08/2017;6/08/2018;2;7695;64
68;1000000000217;Trippledex;7/08/2017;7/08/2018;3;1437;19
69;1000000000218;Kanlam;8/08/2017;8/08/2018;4;6512;22
70;1000000000219;Tresom;9/08/2017;9/08/2018;5;3953;23
71;1000000000220;Daltfresh;10/08/2017;10/08/2018;1;4481;73
72;1000000000221;Matsoft;11/08/2017;11/08/2018;2;6290;89
73;1000000000222;Quo Lux;12/08/2017;12/08/2018;3;4076;75
74;1000000000223;Job;13/08/2017;13/08/2018;4;926;68
75;1000000000224;Voyatouch;14/08/2017;14/08/2018;5;2837;98
76;1000000000225;Voltsillam;15/08/2017;15/08/2018;1;9316;30
77;1000000000226;Otcom;16/08/2017;16/08/2018;2;2992;12
78;1000000000227;Treeflex;17/08/2017;17/08/2018;3;8031;76
79;1000000000228;Bitchip;18/08/2017;18/08/2018;4;7513;24
80;1000000000229;Stringtough;19/08/2017;19/08/2018;5;6577;34
81;1000000000230;Zoolab;20/08/2017;20/08/2018;1;7602;51
82;1000000000231;Bytecard;21/08/2017;21/08/2018;2;9460;16
83;1000000000232;Sub-Ex;22/08/2017;22/08/2018;3;2704;6
84;1000000000233;Trippledex;23/08/2017;23/08/2018;4;7093;46
85;1000000000234;It;24/08/2017;24/08/2018;5;7264;96
86;1000000000235;Mat Lam Tam;25/08/2017;25/08/2018;1;1683;19
87;1000000000236;Subin;26/08/2017;26/08/2018;2;4802;55
88;1000000000237;Duobam;27/08/2017;27/08/2018;3;1633;89
89;1000000000238;Sub-Ex;28/08/2017;28/08/2018;4;1096;16
90;1000000000239;Kanlam;29/08/2017;29/08/2018;5;186;68
91;1000000000240;Tin;30/08/2017;30/08/2018;1;4709;40
92;1000000000241;Sub-Ex;31/08/2017;31/08/2018;2;5016;9
93;1000000000242;Transcof;1/09/2017;1/09/2018;3;104;84
94;1000000000243;Stim;2/09/2017;2/09/2018;4;1994;84
95;1000000000244;Subin;3/09/2017;3/09/2018;5;3639;41
96;1000000000245;Cardify;4/09/2017;4/09/2018;1;1867;29
97;1000000000246;Treeflex;5/09/2017;5/09/2018;2;2243;70
98;1000000000247;Holdlamis;6/09/2017;6/09/2018;3;904;20
99;1000000000248;Zathin;7/09/2017;7/09/2018;4;3546;30
100;1000000000249;Namfix;8/09/2017;8/09/2018;5;3833;51
101;1000000000250;Voltsillam;9/09/2017;9/09/2018;1;3205;61
102;1000000000251;Fix San;10/09/2017;10/09/2018;2;6559;12
103;1000000000252;Zoolab;11/09/2017;11/09/2018;3;1824;26
104;1000000000253;Toughjoyfax;12/09/2017;12/09/2018;4;2881;18
105;1000000000254;Cookley;13/09/2017;13/09/2018;5;7108;52
106;1000000000255;Toughjoyfax;14/09/2017;14/09/2018;1;327;95
107;1000000000256;Keylex;15/09/2017;15/09/2018;2;9480;62
108;1000000000257;Bitchip;16/09/2017;16/09/2018;3;9516;89
109;1000000000258;Viva;17/09/2017;17/09/2018;4;1961;81
110;1000000000259;Zaam-Dox;18/09/2017;18/09/2018;5;4634;70
111;1000000000260;Cookley;19/09/2017;19/09/2018;1;5064;52
112;1000000000261;Toughjoyfax;20/09/2017;20/09/2018;2;2703;40
113;1000000000262;Zontrax;21/09/2017;21/09/2018;3;5411;97
114;1000000000263;Cookley;22/09/2017;22/09/2018;4;6102;7
115;1000000000264;Bamity;23/09/2017;23/09/2018;5;3693;35
116;1000000000265;Zaam-Dox;24/09/2017;24/09/2018;1;773;21
117;1000000000266;Vagram;25/09/2017;25/09/2018;2;4461;36
118;1000000000267;Kanlam;26/09/2017;26/09/2018;3;9654;55
119;1000000000268;Stim;27/09/2017;27/09/2018;4;6440;22
120;1000000000269;Sonsing;28/09/2017;28/09/2018;5;3725;60
121;1000000000270;Stim;29/09/2017;29/09/2018;1;6049;49
122;1000000000271;Solarbreeze;30/09/2017;30/09/2018;2;1832;56
123;1000000000272;Voltsillam;1/10/2017;1/10/2018;3;9389;72
124;1000000000273;Alphazap;2/10/2017;2/10/2018;4;7043;94
125;1000000000274;Gembucket;3/10/2017;3/10/2018;5;30;2
126;1000000000275;Konklux;4/10/2017;4/10/2018;1;3211;65
127;1000000000276;Latlux;5/10/2017;5/10/2018;2;8295;12
128;1000000000277;Treeflex;6/10/2017;6/10/2018;3;4327;22
129;1000000000278;Domainer;7/10/2017;7/10/2018;4;9974;5
130;1000000000279;Bamity;8/10/2017;8/10/2018;5;1556;93
131;1000000000280;Bitwolf;9/10/2017;9/10/2018;1;3761;68
132;1000000000281;Flowdesk;10/10/2017;10/10/2018;2;3445;43
133;1000000000282;Toughjoyfax;11/10/2017;11/10/2018;3;9990;11
134;1000000000283;Tempsoft;12/10/2017;12/10/2018;4;6661;54
135;1000000000284;Gembucket;13/10/2017;13/10/2018;5;7091;74
136;1000000000285;Andalax;14/10/2017;14/10/2018;1;6743;5
137;1000000000286;Stronghold;15/10/2017;15/10/2018;2;8104;49
138;1000000000287;Alpha;16/10/2017;16/10/2018;3;7310;3
139;1000000000288;Sonsing;17/10/2017;17/10/2018;4;4726;16
140;1000000000289;Sonair;18/10/2017;18/10/2018;5;7112;21
141;1000000000290;Sonsing;19/10/2017;19/10/2018;1;7445;32
142;1000000000291;Lotlux;20/10/2017;20/10/2018;2;7232;14
143;1000000000292;Asoka;21/10/2017;21/10/2018;3;4128;19
144;1000000000293;Zamit;22/10/2017;22/10/2018;4;8031;51
145;1000000000294;Opela;23/10/2017;23/10/2018;5;1884;32
146;1000000000295;Fintone;24/10/2017;24/10/2018;1;1609;23
147;1000000000296;Voyatouch;25/10/2017;25/10/2018;2;7291;58
148;1000000000297;Opela;26/10/2017;26/10/2018;3;5029;22
149;1000000000298;Stronghold;27/10/2017;27/10/2018;4;9708;75
150;1000000000299;Namfix;28/10/2017;28/10/2018;5;3397;99
1;1000000000300;Biodex;29/10/2017;29/10/2018;1;5003;84
2;1000000000301;Viva;30/10/2017;30/10/2018;2;8898;87
3;1000000000302;Tampflex;31/10/2017;31/10/2018;3;1231;64
4;1000000000303;Home Ing;1/11/2017;1/11/2018;4;7766;66
5;1000000000304;Redhold;2/11/2017;2/11/2018;5;2775;29
6;1000000000305;Latlux;3/11/2017;3/11/2018;1;7253;72
7;1000000000306;Zathin;4/11/2017;4/11/2018;2;6224;80
8;1000000000307;Asoka;5/11/2017;5/11/2018;3;8486;98
9;1000000000308;Keylex;6/11/2017;6/11/2018;4;11;32
10;1000000000309;Otcom;7/11/2017;7/11/2018;5;4182;87
11;1000000000310;Andalax;8/11/2017;8/11/2018;1;850;31
12;1000000000311;Redhold;9/11/2017;9/11/2018;2;2146;95
13;1000000000312;Zathin;10/11/2017;10/11/2018;3;9678;51
14;1000000000313;Y-Solowarm;11/11/2017;11/11/2018;4;6826;85
15;1000000000314;Bigtax;12/11/2017;12/11/2018;5;6686;66
16;1000000000315;Zathin;13/11/2017;13/11/2018;1;4389;66
17;1000000000316;Gembucket;14/11/2017;14/11/2018;2;2008;1
18;1000000000317;Veribet;15/11/2017;15/11/2018;3;7831;89
19;1000000000318;Voltsillam;16/11/2017;16/11/2018;4;2113;72
20;1000000000319;Fix San;17/11/2017;17/11/2018;5;5898;20
21;1000000000320;Fixflex;18/11/2017;18/11/2018;1;9178;66
22;1000000000321;Opela;19/11/2017;19/11/2018;2;3630;79
23;1000000000322;Voyatouch;20/11/2017;20/11/2018;3;8079;4
24;1000000000323;Konklab;21/11/2017;21/11/2018;4;7139;82
25;1000000000324;Lotlux;22/11/2017;22/11/2018;5;9755;1
26;1000000000325;Span;23/11/2017;23/11/2018;1;5458;76
27;1000000000326;Subin;24/11/2017;24/11/2018;2;5711;2
28;1000000000327;Subin;25/11/2017;25/11/2018;3;8818;78
29;1000000000328;Zamit;26/11/2017;26/11/2018;4;4649;9
30;1000000000329;Bigtax;27/11/2017;27/11/2018;5;4;77
31;1000000000330;Sonair;28/11/2017;28/11/2018;1;8640;23
32;1000000000331;Tempsoft;29/11/2017;29/11/2018;2;7679;64
33;1000000000332;Domainer;30/11/2017;30/11/2018;3;7845;26
34;1000000000333;Overhold;1/12/2017;1/12/2018;4;8867;82
35;1000000000334;Transcof;2/12/2017;2/12/2018;5;7817;88
36;1000000000335;Alpha;3/12/2017;3/12/2018;1;9404;1
37;1000000000336;Lotstring;4/12/2017;4/12/2018;2;1236;88
38;1000000000337;Fixflex;5/12/2017;5/12/2018;3;1719;72
39;1000000000338;Ronstring;6/12/2017;6/12/2018;4;3220;26
40;1000000000339;Bytecard;7/12/2017;7/12/2018;5;7510;31
41;1000000000340;Greenlam;8/12/2017;8/12/2018;1;1573;0
42;1000000000341;Greenlam;9/12/2017;9/12/2018;2;8354;63
43;1000000000342;Fixflex;10/12/2017;10/12/2018;3;1807;24
44;1000000000343;Y-Solowarm;11/12/2017;11/12/2018;4;4983;67
45;1000000000344;Cookley;12/12/2017;12/12/2018;5;8046;11
46;1000000000345;Matsoft;13/12/2017;13/12/2018;1;2215;99
47;1000000000346;Subin;14/12/2017;14/12/2018;2;6579;21
48;1000000000347;Greenlam;15/12/2017;15/12/2018;3;3793;97
49;1000000000348;Quo Lux;16/12/2017;16/12/2018;4;4405;54
50;1000000000349;Quo Lux;17/12/2017;17/12/2018;5;177;3
51;1000000000350;Tampflex;18/12/2017;18/12/2018;1;1530;68
52;1000000000351;Y-Solowarm;19/12/2017;19/12/2018;2;4134;40
53;1000000000352;Treeflex;20/12/2017;20/12/2018;3;6996;88
54;1000000000353;Greenlam;21/12/2017;21/12/2018;4;9295;59
55;1000000000354;Vagram;22/12/2017;22/12/2018;5;5363;45
56;1000000000355;Cardify;23/12/2017;23/12/2018;1;1313;42
57;1000000000356;Viva;24/12/2017;24/12/2018;2;1646;48
58;1000000000357;Stronghold;25/12/2017;25/12/2018;3;7311;26
59;1000000000358;Voyatouch;26/12/2017;26/12/2018;4;5309;25
60;1000000000359;Gembucket;27/12/2017;27/12/2018;5;2231;56
61;1000000000360;Zoolab;28/12/2017;28/12/2018;1;8935;41
62;1000000000361;Regrant;29/12/2017;29/12/2018;2;8989;47
63;1000000000362;Duobam;30/12/2017;30/12/2018;3;1493;35
64;1000000000363;Flexidy;31/12/2017;31/12/2018;4;5902;14
65;1000000000364;Flowdesk;1/01/2017;1/01/2019;5;8745;33
66;1000000000365;Stim;2/01/2017;2/01/2019;1;95;41
67;1000000000366;Lotlux;3/01/2017;3/01/2019;2;5264;11
68;1000000000367;Alphazap;4/01/2017;4/01/2019;3;1766;98
69;1000000000368;Tin;5/01/2017;5/01/2019;4;5125;89
70;1000000000369;Duobam;6/01/2017;6/01/2019;5;3679;81
71;1000000000370;Home Ing;7/01/2017;7/01/2019;1;6779;66
72;1000000000371;Tres-Zap;8/01/2017;8/01/2019;2;382;11
73;1000000000372;Konklab;9/01/2017;9/01/2019;3;8317;56
74;1000000000373;Konklab;10/01/2017;10/01/2019;4;2711;99
75;1000000000374;Temp;11/01/2017;11/01/2019;5;7129;64
76;1000000000375;Prodder;12/01/2017;12/01/2019;1;5078;6
77;1000000000376;Regrant;13/01/2017;13/01/2019;2;9786;5
78;1000000000377;Prodder;14/01/2017;14/01/2019;3;2654;55
79;1000000000378;Aerified;15/01/2017;15/01/2019;4;7446;37
80;1000000000379;Otcom;16/01/2017;16/01/2019;5;8728;54
81;1000000000380;Sonair;17/01/2017;17/01/2019;1;9059;41
82;1000000000381;Temp;18/01/2017;18/01/2019;2;8308;48
83;1000000000382;Bitwolf;19/01/2017;19/01/2019;3;8183;82
84;1000000000383;Rank;20/01/2017;20/01/2019;4;5807;10
85;1000000000384;Veribet;21/01/2017;21/01/2019;5;6638;19
86;1000000000385;Stim;22/01/2017;22/01/2019;1;2046;25
87;1000000000386;Vagram;23/01/2017;23/01/2019;2;7701;91
88;1000000000387;Temp;24/01/2017;24/01/2019;3;1364;98
89;1000000000388;Treeflex;25/01/2017;25/01/2019;4;7268;90
90;1000000000389;Tres-Zap;26/01/2017;26/01/2019;5;4810;12
91;1000000000390;Tresom;27/01/2017;27/01/2019;1;711;65
92;1000000000391;Konklux;28/01/2017;28/01/2019;2;15;96
93;1000000000392;Gembucket;29/01/2017;29/01/2019;3;4621;89
94;1000000000393;Veribet;30/01/2017;30/01/2019;4;3263;6
95;1000000000394;Fix San;31/01/2017;31/01/2019;5;9412;47
96;1000000000395;Treeflex;1/02/2017;1/02/2019;1;4021;36
97;1000000000396;Bamity;2/02/2017;2/02/2019;2;7383;57
98;1000000000397;Flowdesk;3/02/2017;3/02/2019;3;5613;0
99;1000000000398;Flexidy;4/02/2017;4/02/2019;4;8321;59
100;1000000000399;Stronghold;5/02/2017;5/02/2019;5;5202;67
