IDORDEN;CODIGOBARRAS;CANTIDADPRODUCTO;PRECIOTOTAL;PRECIOUNITARIO
10;1000000000087;8;46960;5870
10;1000000000088;10;58800;5880
10;1000000000089;4;23560;5890
11;1000000000090;6;35400;5900
11;1000000000091;2;11820;5910
11;1000000000092;4;23680;5920
11;1000000000093;14;83020;5930
11;1000000000094;11;65340;5940
11;1000000000095;5;29750;5950
11;1000000000096;6;35760;5960
11;1000000000097;7;41790;5970
11;1000000000098;5;29900;5980
12;1000000000099;7;41930;5990
12;1000000000100;7;42000;6000
12;1000000000101;1;6010;6010
12;1000000000102;12;72240;6020
12;1000000000103;9;54270;6030
12;1000000000104;9;54360;6040
12;1000000000105;9;54450;6050
12;1000000000106;14;84840;6060
12;1000000000107;12;72840;6070
13;1000000000108;9;54720;6080
13;1000000000109;10;60900;6090
13;1000000000110;2;12200;6100
13;1000000000111;9;54990;6110
13;1000000000112;3;18360;6120
13;1000000000113;3;18390;6130
13;1000000000114;3;18420;6140
13;1000000000115;14;86100;6150
13;1000000000116;7;43120;6160
14;1000000000117;6;37020;6170
14;1000000000118;4;24720;6180
14;1000000000119;8;49520;6190
14;1000000000120;8;49600;6200
14;1000000000121;7;43470;6210
14;1000000000122;11;68420;6220
14;1000000000123;2;12460;6230
14;1000000000124;14;87360;6240
14;1000000000125;13;81250;6250
15;1000000000126;7;43820;6260
15;1000000000127;8;50160;6270
15;1000000000128;7;43960;6280
15;1000000000129;8;50320;6290
15;1000000000130;3;18900;6300
15;1000000000131;2;12620;6310
15;1000000000132;5;31600;6320
15;1000000000133;12;75960;6330
15;1000000000134;4;25360;6340
16;1000000000135;1;6350;6350
16;1000000000136;7;44520;6360
16;1000000000137;9;57330;6370
16;1000000000138;8;51040;6380
16;1000000000139;4;25560;6390
16;1000000000140;1;6400;6400
16;1000000000141;7;44870;6410
16;1000000000142;13;83460;6420
16;1000000000143;11;70730;6430
17;1000000000144;11;70840;6440
17;1000000000145;6;38700;6450
17;1000000000146;13;83980;6460
17;1000000000147;14;90580;6470
17;1000000000148;5;32400;6480
17;1000000000149;14;90860;6490
17;1000000000150;7;45500;6500
17;1000000000151;10;65100;6510
17;1000000000152;10;65200;6520
18;1000000000153;11;71830;6530
18;1000000000154;5;32700;6540
18;1000000000155;7;45850;6550
18;1000000000156;12;78720;6560
18;1000000000157;7;45990;6570
18;1000000000158;4;26320;6580
18;1000000000159;9;59310;6590
18;1000000000160;6;39600;6600
18;1000000000161;6;39660;6610
19;1000000000162;9;59580;6620
19;1000000000163;14;92820;6630
19;1000000000164;7;46480;6640
19;1000000000165;13;86450;6650
19;1000000000166;12;79920;6660
19;1000000000167;10;66700;6670
19;1000000000168;3;20040;6680
19;1000000000169;14;93660;6690
19;1000000000170;6;40200;6700
20;1000000000171;3;20130;6710
20;1000000000172;12;80640;6720
20;1000000000173;2;13460;6730
20;1000000000174;5;33700;6740
20;1000000000175;9;60750;6750
20;1000000000176;5;33800;6760
20;1000000000177;4;27080;6770
20;1000000000178;10;67800;6780
20;1000000000179;11;74690;6790
21;1000000000180;10;68000;6800
21;1000000000181;4;27240;6810
21;1000000000182;13;88660;6820
21;1000000000183;1;6830;6830
21;1000000000184;11;75240;6840
21;1000000000185;5;34250;6850
21;1000000000186;1;6860;6860
21;1000000000187;3;20610;6870
21;1000000000188;4;27520;6880
22;1000000000189;1;6890;6890
22;1000000000190;9;62100;6900
22;1000000000191;2;13820;6910
22;1000000000192;6;41520;6920
22;1000000000193;8;55440;6930
22;1000000000194;4;27760;6940
22;1000000000195;9;62550;6950
22;1000000000196;2;13920;6960
22;1000000000197;11;76670;6970
23;1000000000198;4;27920;6980
23;1000000000199;14;97860;6990
23;1000000000200;4;28000;7000
23;1000000000201;12;84120;7010
23;1000000000202;1;7020;7020
23;1000000000203;3;21090;7030
23;1000000000204;11;77440;7040
23;1000000000205;10;70500;7050
23;1000000000206;5;35300;7060
24;1000000000207;4;28280;7070
24;1000000000208;9;63720;7080
24;1000000000209;12;85080;7090
24;1000000000210;12;85200;7100
24;1000000000211;2;14220;7110
24;1000000000212;7;49840;7120
24;1000000000213;2;14260;7130
24;1000000000214;9;64260;7140
24;1000000000215;14;100100;7150
25;1000000000216;10;71600;7160
25;1000000000217;14;100380;7170
25;1000000000218;14;100520;7180
25;1000000000219;5;35950;7190
25;1000000000220;2;14400;7200
25;1000000000221;1;7210;7210
25;1000000000222;1;7220;7220
25;1000000000223;10;72300;7230
25;1000000000224;8;57920;7240
26;1000000000225;2;14500;7250
26;1000000000226;11;79860;7260
26;1000000000227;7;50890;7270
26;1000000000228;6;43680;7280
26;1000000000229;9;65610;7290
26;1000000000230;1;7300;7300
26;1000000000231;5;36550;7310
26;1000000000232;9;65880;7320
26;1000000000233;11;80630;7330
27;1000000000234;10;73400;7340
27;1000000000235;13;95550;7350
27;1000000000236;6;44160;7360
27;1000000000237;11;81070;7370
27;1000000000238;8;59040;7380
27;1000000000239;12;88680;7390
27;1000000000240;14;103600;7400
27;1000000000241;8;59280;7410
27;1000000000242;9;66780;7420
28;1000000000243;4;29720;7430
28;1000000000244;2;14880;7440
28;1000000000245;1;7450;7450
28;1000000000246;2;14920;7460
28;1000000000247;7;52290;7470
28;1000000000248;6;44880;7480
28;1000000000249;9;67410;7490
28;1000000000250;3;22500;7500
28;1000000000251;7;52570;7510
29;1000000000252;12;90240;7520
29;1000000000253;2;15060;7530
29;1000000000254;7;52780;7540
29;1000000000255;2;15100;7550
29;1000000000256;12;90720;7560
29;1000000000257;3;22710;7570
29;1000000000258;5;37900;7580
29;1000000000259;4;30360;7590
29;1000000000260;10;76000;7600
30;1000000000261;4;30440;7610
30;1000000000262;10;76200;7620
30;1000000000263;4;30520;7630
30;1000000000264;4;30560;7640
30;1000000000265;5;38250;7650
30;1000000000266;7;53620;7660
30;1000000000267;1;7670;7670
30;1000000000268;11;84480;7680
30;1000000000269;4;30760;7690
31;1000000000270;2;15400;7700
31;1000000000271;9;69390;7710
31;1000000000272;3;23160;7720
31;1000000000273;10;77300;7730
31;1000000000274;14;108360;7740
31;1000000000275;4;31000;7750
31;1000000000276;13;100880;7760
31;1000000000277;10;77700;7770
31;1000000000278;13;101140;7780
32;1000000000279;7;54530;7790
32;1000000000280;2;15600;7800
32;1000000000281;8;62480;7810
32;1000000000282;6;46920;7820
32;1000000000283;7;54810;7830
32;1000000000284;3;23520;7840
32;1000000000285;11;86350;7850
32;1000000000286;14;110040;7860
32;1000000000287;9;70830;7870
33;1000000000288;4;31520;7880
33;1000000000289;7;55230;7890
33;1000000000290;13;102700;7900
33;1000000000291;6;47460;7910
33;1000000000292;8;63360;7920
33;1000000000293;7;55510;7930
33;1000000000294;3;23820;7940
33;1000000000295;7;55650;7950
33;1000000000296;14;111440;7960
34;1000000000297;10;79700;7970
34;1000000000298;8;63840;7980
34;1000000000299;11;87890;7990
34;1000000000300;7;56000;8000
34;1000000000301;14;112140;8010
34;1000000000302;8;64160;8020
34;1000000000303;11;88330;8030
34;1000000000304;6;48240;8040
34;1000000000305;7;56350;8050
35;1000000000306;11;88660;8060
35;1000000000307;3;24210;8070
35;1000000000308;8;64640;8080
35;1000000000309;3;24270;8090
35;1000000000310;9;72900;8100
35;1000000000311;1;8110;8110
35;1000000000312;8;64960;8120
35;1000000000313;7;56910;8130
35;1000000000314;9;73260;8140
36;1000000000315;10;81500;8150
36;1000000000316;9;73440;8160
36;1000000000317;1;8170;8170
36;1000000000318;8;65440;8180
36;1000000000319;5;40950;8190
36;1000000000320;4;32800;8200
36;1000000000321;3;24630;8210
36;1000000000322;1;8220;8220
36;1000000000323;4;32920;8230
37;1000000000324;2;16480;8240
37;1000000000325;14;115500;8250
37;1000000000326;13;107380;8260
37;1000000000327;3;24810;8270
37;1000000000328;13;107640;8280
37;1000000000329;2;16580;8290
37;1000000000330;1;8300;8300
37;1000000000331;13;108030;8310
37;1000000000332;3;24960;8320
38;1000000000333;13;108290;8330
38;1000000000334;3;25020;8340
38;1000000000335;12;100200;8350
38;1000000000336;4;33440;8360
38;1000000000337;10;83700;8370
38;1000000000338;1;8380;8380
38;1000000000339;10;83900;8390
38;1000000000340;10;84000;8400
38;1000000000341;6;50460;8410
39;1000000000342;4;33680;8420
39;1000000000343;7;59010;8430
39;1000000000344;9;75960;8440
39;1000000000345;14;118300;8450
39;1000000000346;8;67680;8460
39;1000000000347;3;25410;8470
39;1000000000348;2;16960;8480
39;1000000000349;5;42450;8490
39;1000000000350;3;25500;8500
40;1000000000351;8;68080;8510
40;1000000000352;5;42600;8520
40;1000000000353;3;25590;8530
40;1000000000354;3;25620;8540
40;1000000000355;1;8550;8550
40;1000000000356;13;111280;8560
40;1000000000357;1;8570;8570
40;1000000000358;12;102960;8580
40;1000000000359;6;51540;8590
41;1000000000360;2;17200;8600
41;1000000000361;1;8610;8610
41;1000000000362;4;34480;8620
41;1000000000363;11;94930;8630
41;1000000000364;12;103680;8640
41;1000000000365;2;17300;8650
41;1000000000366;10;86600;8660
41;1000000000367;11;95370;8670
41;1000000000368;5;43400;8680
42;1000000000369;9;78210;8690
42;1000000000370;9;78300;8700
42;1000000000371;9;78390;8710
42;1000000000372;11;95920;8720
42;1000000000373;13;113490;8730
42;1000000000374;3;26220;8740
42;1000000000375;6;52500;8750
42;1000000000376;4;35040;8760
42;1000000000377;14;122780;8770
43;1000000000378;13;114140;8780
43;1000000000379;3;26370;8790
43;1000000000380;11;96800;8800
43;1000000000381;13;114530;8810
43;1000000000382;14;123480;8820
43;1000000000383;10;88300;8830
43;1000000000384;4;35360;8840
43;1000000000385;12;106200;8850
43;1000000000386;7;62020;8860
44;1000000000387;14;124180;8870
44;1000000000388;13;115440;8880
44;1000000000389;2;17780;8890
44;1000000000390;12;106800;8900
44;1000000000391;2;17820;8910
44;1000000000392;2;17840;8920
44;1000000000393;6;53580;8930
44;1000000000394;13;116220;8940
44;1000000000395;9;80550;8950
45;1000000000396;7;62720;8960
45;1000000000397;4;35880;8970
45;1000000000398;2;17960;8980
45;1000000000399;12;107880;8990
45;1000000000400;14;126000;9000
45;1000000000401;3;27030;9010
45;1000000000402;13;117260;9020
45;1000000000403;3;27090;9030
45;1000000000404;6;54240;9040
46;1000000000405;12;108600;9050
46;1000000000406;6;54360;9060
46;1000000000407;4;36280;9070
46;1000000000408;8;72640;9080
46;1000000000409;11;99990;9090
46;1000000000410;11;100100;9100
46;1000000000411;6;54660;9110
46;1000000000412;12;109440;9120
46;1000000000413;5;45650;9130
47;1000000000414;3;27420;9140
47;1000000000415;11;100650;9150
47;1000000000416;10;91600;9160
47;1000000000417;6;55020;9170
47;1000000000418;5;45900;9180
47;1000000000419;7;64330;9190
47;1000000000420;1;9200;9200
47;1000000000421;9;82890;9210
47;1000000000422;3;27660;9220
48;1000000000423;4;36920;9230
48;1000000000424;13;120120;9240
48;1000000000425;5;46250;9250
48;1000000000426;12;111120;9260
48;1000000000427;4;37080;9270
48;1000000000428;13;120640;9280
48;1000000000429;11;102190;9290
48;1000000000430;4;37200;9300
48;1000000000431;4;37240;9310
49;1000000000432;14;130480;9320
49;1000000000433;13;121290;9330
49;1000000000434;13;121420;9340
49;1000000000435;14;130900;9350
49;1000000000436;8;74880;9360
49;1000000000437;3;28110;9370
49;1000000000438;6;56280;9380
49;1000000000439;11;103290;9390
49;1000000000440;7;65800;9400
50;1000000000441;8;75280;9410
50;1000000000442;3;28260;9420
50;1000000000443;1;9430;9430
50;1000000000444;7;66080;9440
50;1000000000445;12;113400;9450
50;1000000000446;14;132440;9460
50;1000000000447;12;113640;9470
50;1000000000448;10;94800;9480
50;1000000000449;13;123370;9490
51;1000000000450;9;85500;9500
51;1000000000451;11;104610;9510
51;1000000000452;4;38080;9520
51;1000000000453;8;76240;9530
51;1000000000454;4;38160;9540
51;1000000000455;10;95500;9550
51;1000000000456;12;114720;9560
51;1000000000457;14;133980;9570
51;1000000000458;11;105380;9580
52;1000000000459;12;115080;9590
52;1000000000460;2;19200;9600
52;1000000000461;10;96100;9610
52;1000000000462;14;134680;9620
52;1000000000463;6;57780;9630
52;1000000000464;11;106040;9640
52;1000000000465;4;38600;9650
52;1000000000466;10;96600;9660
52;1000000000467;12;116040;9670
53;1000000000468;11;106480;9680
53;1000000000469;2;19380;9690
53;1000000000470;6;58200;9700
53;1000000000471;2;19420;9710
53;1000000000472;3;29160;9720
53;1000000000473;4;38920;9730
53;1000000000474;2;19480;9740
53;1000000000475;2;19500;9750
53;1000000000476;6;58560;9760
54;1000000000477;7;68390;9770
54;1000000000478;6;58680;9780
54;1000000000479;5;48950;9790
54;1000000000480;2;19600;9800
54;1000000000481;2;19620;9810
54;1000000000482;8;78560;9820
54;1000000000483;5;49150;9830
54;1000000000484;10;98400;9840
54;1000000000485;9;88650;9850
55;1000000000486;14;138040;9860
55;1000000000487;7;69090;9870
55;1000000000488;1;9880;9880
55;1000000000489;2;19780;9890
55;1000000000490;6;59400;9900
55;1000000000491;8;79280;9910
55;1000000000492;9;89280;9920
55;1000000000493;10;99300;9930
55;1000000000494;1;9940;9940
56;1000000000495;5;49750;9950
56;1000000000496;2;19920;9960
56;1000000000497;3;29910;9970
56;1000000000498;13;129740;9980
56;1000000000499;1;9990;9990
56;1000000000500;8;80000;10000
56;1000000000501;6;60060;10010
56;1000000000502;5;50100;10020
56;1000000000503;13;130390;10030
57;1000000000504;2;20080;10040
57;1000000000505;10;100500;10050
57;1000000000506;13;130780;10060
57;1000000000507;8;80560;10070
57;1000000000508;4;40320;10080
57;1000000000509;14;141260;10090
57;1000000000510;12;121200;10100
57;1000000000511;3;30330;10110
57;1000000000512;6;60720;10120
58;1000000000513;7;70910;10130
58;1000000000514;8;81120;10140
58;1000000000515;11;111650;10150
58;1000000000516;14;142240;10160
58;1000000000517;3;30510;10170
58;1000000000518;12;122160;10180
58;1000000000519;3;30570;10190
58;1000000000520;1;10200;10200
58;1000000000521;14;142940;10210
59;1000000000522;6;61320;10220
59;1000000000523;7;71610;10230
59;1000000000524;10;102400;10240
59;1000000000525;14;143500;10250
59;1000000000526;14;143640;10260
59;1000000000527;14;143780;10270
59;1000000000528;11;113080;10280
59;1000000000529;4;41160;10290
59;1000000000530;10;103000;10300
60;1000000000531;11;113410;10310
60;1000000000532;12;123840;10320
60;1000000000533;11;113630;10330
60;1000000000534;4;41360;10340
60;1000000000535;3;31050;10350
60;1000000000536;12;124320;10360
60;1000000000537;13;134810;10370
60;1000000000538;7;72660;10380
60;1000000000539;12;124680;10390
61;1000000000540;14;145600;10400
61;1000000000541;5;52050;10410
61;1000000000542;10;104200;10420
61;1000000000543;12;125160;10430
61;1000000000544;8;83520;10440
61;1000000000545;2;20900;10450
61;1000000000546;14;146440;10460
61;1000000000547;1;10470;10470
61;1000000000548;3;31440;10480
62;1000000000549;4;41960;10490
62;1000000000550;3;31500;10500
62;1000000000551;1;10510;10510
62;1000000000552;3;31560;10520
62;1000000000553;1;10530;10530
62;1000000000554;14;147560;10540
62;1000000000555;3;31650;10550
62;1000000000556;12;126720;10560
62;1000000000557;7;73990;10570
63;1000000000558;13;137540;10580
63;1000000000559;12;127080;10590
63;1000000000560;2;21200;10600
63;1000000000561;1;10610;10610
63;1000000000562;6;63720;10620
63;1000000000563;5;53150;10630
63;1000000000564;1;10640;10640
63;1000000000565;10;106500;10650
63;1000000000566;6;63960;10660
64;1000000000567;10;106700;10670
64;1000000000568;11;117480;10680
64;1000000000569;7;74830;10690
64;1000000000570;8;85600;10700
64;1000000000571;9;96390;10710
64;1000000000572;8;85760;10720
64;1000000000573;2;21460;10730
64;1000000000574;3;32220;10740
64;1000000000575;5;53750;10750
65;1000000000576;9;96840;10760
65;1000000000577;7;75390;10770
65;1000000000578;7;75460;10780
65;1000000000579;10;107900;10790
65;1000000000580;4;43200;10800
65;1000000000581;10;108100;10810
65;1000000000582;10;108200;10820
65;1000000000583;2;21660;10830
65;1000000000584;12;130080;10840
66;1000000000585;7;75950;10850
66;1000000000586;8;86880;10860
66;1000000000587;2;21740;10870
66;1000000000588;12;130560;10880
66;1000000000589;9;98010;10890
66;1000000000590;9;98100;10900
66;1000000000591;14;152740;10910
66;1000000000592;3;32760;10920
66;1000000000593;11;120230;10930
67;1000000000594;6;65640;10940
67;1000000000595;14;153300;10950
67;1000000000596;1;10960;10960
67;1000000000597;8;87760;10970
67;1000000000598;13;142740;10980
67;1000000000599;13;142870;10990
67;1000000000600;3;33000;11000
67;1000000000601;10;110100;11010
67;1000000000602;10;110200;11020
68;1000000000603;3;33090;11030
68;1000000000604;10;110400;11040
68;1000000000605;5;55250;11050
68;1000000000606;13;143780;11060
68;1000000000607;4;44280;11070
68;1000000000608;5;55400;11080
68;1000000000609;1;11090;11090
68;1000000000610;6;66600;11100
68;1000000000611;2;22220;11110
69;1000000000612;2;22240;11120
69;1000000000613;3;33390;11130
69;1000000000614;7;77980;11140
69;1000000000615;14;156100;11150
69;1000000000616;7;78120;11160
69;1000000000617;2;22340;11170
69;1000000000618;5;55900;11180
69;1000000000619;2;22380;11190
69;1000000000620;13;145600;11200
70;1000000000621;12;134520;11210
70;1000000000622;13;145860;11220
70;1000000000623;12;134760;11230
70;1000000000624;8;89920;11240
70;1000000000625;5;56250;11250
70;1000000000626;4;45040;11260
70;1000000000627;5;56350;11270
70;1000000000628;2;22560;11280
70;1000000000629;14;158060;11290
71;1000000000630;12;135600;11300
71;1000000000631;12;135720;11310
71;1000000000632;3;33960;11320
71;1000000000633;13;147290;11330
71;1000000000634;6;68040;11340
71;1000000000635;3;34050;11350
71;1000000000636;9;102240;11360
71;1000000000637;9;102330;11370
71;1000000000638;12;136560;11380
72;1000000000639;9;102510;11390
72;1000000000640;11;125400;11400
72;1000000000641;11;125510;11410
72;1000000000642;14;159880;11420
72;1000000000643;11;125730;11430
72;1000000000644;10;114400;11440
72;1000000000645;7;80150;11450
72;1000000000646;8;91680;11460
72;1000000000647;8;91760;11470
73;1000000000648;6;68880;11480
73;1000000000649;1;11490;11490
73;1000000000650;3;34500;11500
73;1000000000651;2;23020;11510
73;1000000000652;10;115200;11520
73;1000000000653;12;138360;11530
73;1000000000654;8;92320;11540
73;1000000000655;9;103950;11550
73;1000000000656;10;115600;11560
74;1000000000657;14;161980;11570
74;1000000000658;5;57900;11580
74;1000000000659;8;92720;11590
74;1000000000660;4;46400;11600
74;1000000000661;3;34830;11610
74;1000000000662;6;69720;11620
74;1000000000663;7;81410;11630
74;1000000000664;13;151320;11640
74;1000000000665;12;139800;11650
75;1000000000666;14;163240;11660
75;1000000000667;4;46680;11670
75;1000000000668;4;46720;11680
75;1000000000669;8;93520;11690
75;1000000000670;7;81900;11700
75;1000000000671;10;117100;11710
75;1000000000672;3;35160;11720
75;1000000000673;4;46920;11730
75;1000000000674;14;164360;11740
76;1000000000675;4;47000;11750
76;1000000000676;10;117600;11760
76;1000000000677;2;23540;11770
76;1000000000678;6;70680;11780
76;1000000000679;8;94320;11790
76;1000000000680;8;94400;11800
76;1000000000681;1;11810;11810
76;1000000000682;8;94560;11820
76;1000000000683;10;118300;11830
77;1000000000684;13;153920;11840
77;1000000000685;10;118500;11850
77;1000000000686;1;11860;11860
77;1000000000687;12;142440;11870
77;1000000000688;5;59400;11880
77;1000000000689;2;23780;11890
77;1000000000690;10;119000;11900
77;1000000000691;1;11910;11910
77;1000000000692;10;119200;11920
78;1000000000693;11;131230;11930
78;1000000000694;14;167160;11940
78;1000000000695;5;59750;11950
78;1000000000696;1;11960;11960
78;1000000000697;14;167580;11970
78;1000000000698;11;131780;11980
78;1000000000699;6;71940;11990
78;1000000000700;7;84000;12000
78;1000000000701;4;48040;12010
79;1000000000702;1;12020;12020
79;1000000000703;8;96240;12030
79;1000000000704;12;144480;12040
79;1000000000705;8;96400;12050
79;1000000000706;14;168840;12060
79;1000000000707;8;96560;12070
79;1000000000708;13;157040;12080
79;1000000000709;3;36270;12090
79;1000000000710;13;157300;12100
80;1000000000711;3;36330;12110
80;1000000000712;14;169680;12120
80;1000000000713;9;109170;12130
80;1000000000714;9;109260;12140
80;1000000000715;7;85050;12150
80;1000000000716;11;133760;12160
80;1000000000717;3;36510;12170
80;1000000000718;8;97440;12180
80;1000000000719;9;109710;12190
81;1000000000720;8;97600;12200
81;1000000000721;9;109890;12210
81;1000000000722;12;146640;12220
81;1000000000723;5;61150;12230
81;1000000000724;6;73440;12240
81;1000000000725;13;159250;12250
81;1000000000726;13;159380;12260
81;1000000000727;5;61350;12270
81;1000000000728;2;24560;12280
82;1000000000729;10;122900;12290
82;1000000000730;7;86100;12300
82;1000000000731;5;61550;12310
82;1000000000732;3;36960;12320
82;1000000000733;11;135630;12330
82;1000000000734;1;12340;12340
82;1000000000735;13;160550;12350
82;1000000000736;4;49440;12360
82;1000000000737;6;74220;12370
83;1000000000738;8;99040;12380
83;1000000000739;6;74340;12390
83;1000000000740;13;161200;12400
83;1000000000741;2;24820;12410
83;1000000000742;13;161460;12420
83;1000000000743;1;12430;12430
83;1000000000744;4;49760;12440
83;1000000000745;10;124500;12450
83;1000000000746;12;149520;12460
84;1000000000747;13;162110;12470
84;1000000000748;1;12480;12480
84;1000000000749;14;174860;12490
84;1000000000750;2;25000;12500
84;1000000000751;3;37530;12510
84;1000000000752;7;87640;12520
84;1000000000753;11;137830;12530
84;1000000000754;7;87780;12540
84;1000000000755;5;62750;12550
85;1000000000756;12;150720;12560
85;1000000000757;12;150840;12570
85;1000000000758;12;150960;12580
85;1000000000759;11;138490;12590
85;1000000000760;3;37800;12600
85;1000000000761;10;126100;12610
85;1000000000762;9;113580;12620
85;1000000000763;9;113670;12630
85;1000000000764;10;126400;12640
86;1000000000765;13;164450;12650
86;1000000000766;3;37980;12660
86;1000000000767;2;25340;12670
86;1000000000768;7;88760;12680
86;1000000000769;14;177660;12690
86;1000000000770;2;25400;12700
86;1000000000771;12;152520;12710
86;1000000000772;5;63600;12720
86;1000000000773;5;63650;12730
87;1000000000774;4;50960;12740
87;1000000000775;12;153000;12750
87;1000000000776;12;153120;12760
87;1000000000777;7;89390;12770
87;1000000000778;6;76680;12780
87;1000000000779;1;12790;12790
87;1000000000780;12;153600;12800
87;1000000000781;8;102480;12810
87;1000000000782;2;25640;12820
88;1000000000783;8;102640;12830
88;1000000000784;12;154080;12840
88;1000000000785;4;51400;12850
88;1000000000786;13;167180;12860
88;1000000000787;13;167310;12870
88;1000000000788;1;12880;12880
88;1000000000789;2;25780;12890
88;1000000000790;7;90300;12900
88;1000000000791;4;51640;12910
89;1000000000792;2;25840;12920
89;1000000000793;3;38790;12930
89;1000000000794;9;116460;12940
89;1000000000795;12;155400;12950
89;1000000000796;4;51840;12960
89;1000000000797;7;90790;12970
89;1000000000798;5;64900;12980
89;1000000000799;8;103920;12990
89;1000000000800;6;78000;13000
90;1000000000801;9;117090;13010
90;1000000000802;1;13020;13020
90;1000000000803;8;104240;13030
90;1000000000804;11;143440;13040
90;1000000000805;10;130500;13050
90;1000000000806;14;182840;13060
90;1000000000807;11;143770;13070
90;1000000000808;2;26160;13080
90;1000000000809;6;78540;13090
91;1000000000810;10;131000;13100
91;1000000000811;9;117990;13110
91;1000000000812;13;170560;13120
91;1000000000813;10;131300;13130
91;1000000000814;14;183960;13140
91;1000000000815;1;13150;13150
91;1000000000816;10;131600;13160
91;1000000000817;8;105360;13170
91;1000000000818;2;26360;13180
92;1000000000819;6;79140;13190
92;1000000000820;2;26400;13200
92;1000000000821;6;79260;13210
92;1000000000822;7;92540;13220
92;1000000000823;11;145530;13230
92;1000000000824;1;13240;13240
92;1000000000825;10;132500;13250
92;1000000000826;4;53040;13260
92;1000000000827;5;66350;13270
93;1000000000828;10;132800;13280
93;1000000000829;13;172770;13290
93;1000000000830;2;26600;13300
93;1000000000831;14;186340;13310
93;1000000000832;12;159840;13320
93;1000000000833;9;119970;13330
93;1000000000834;13;173420;13340
93;1000000000835;2;26700;13350
93;1000000000836;6;80160;13360
94;1000000000837;11;147070;13370
94;1000000000838;2;26760;13380
94;1000000000839;14;187460;13390
94;1000000000840;13;174200;13400
94;1000000000841;1;13410;13410
94;1000000000842;12;161040;13420
94;1000000000843;1;13430;13430
94;1000000000844;3;40320;13440
94;1000000000845;7;94150;13450
95;1000000000846;14;188440;13460
95;1000000000847;2;26940;13470
95;1000000000848;10;134800;13480
95;1000000000849;4;53960;13490
95;1000000000850;11;148500;13500
95;1000000000851;2;27020;13510
95;1000000000852;9;121680;13520
95;1000000000853;6;81180;13530
95;1000000000854;9;121860;13540
96;1000000000855;11;149050;13550
96;1000000000856;6;81360;13560
96;1000000000857;9;122130;13570
96;1000000000858;11;149380;13580
96;1000000000859;4;54360;13590
96;1000000000860;5;68000;13600
96;1000000000861;13;176930;13610
96;1000000000862;8;108960;13620
96;1000000000863;2;27260;13630
97;1000000000864;13;177320;13640
97;1000000000865;13;177450;13650
97;1000000000866;10;136600;13660
97;1000000000867;3;41010;13670
