CodigoBarras;idCategoria;IdTipoProducto;Nombre;Marca;PRESENTACION;CantidadPresen;Unimedida;Volumen;Peso
1000000000057;4;4;Nombre F;Marca F;Presentacion F;2;gr;557;14905
1000000000058;5;5;Nombre G;Marca G;Presentacion G;6;ml;558;15060
1000000000059;6;6;Nombre H;Marca H;Presentacion H;3;ml;559;15215
1000000000060;7;7;Nombre I;Marca I;Presentacion I;9;gr;560;15370
1000000000061;8;8;Nombre J;Marca J;Presentacion J;3;ml;561;15525
1000000000062;9;9;Nombre K;Marca K;Presentacion K;7;ml;562;15680
1000000000063;1;1;Nombre L;Marca L;Presentacion L;5;gr;563;15835
1000000000064;2;2;Nombre M;Marca M;Presentacion M;5;gr;564;15990
1000000000065;3;3;Nombre N;Marca N;Presentacion N;10;gr;565;16145
1000000000066;4;4;Nombre O;Marca O;Presentacion O;4;ml;566;16300
1000000000067;5;5;Nombre P;Marca P;Presentacion P;1;gr;567;16455
1000000000068;6;6;Nombre Q;Marca Q;Presentacion Q;2;ml;568;16610
1000000000069;7;7;Nombre R;Marca R;Presentacion R;7;ml;569;16765
1000000000070;8;8;Nombre S;Marca S;Presentacion S;3;gr;570;16920
1000000000071;9;9;Nombre T;Marca T;Presentacion T;5;ml;571;17075
1000000000072;1;1;Nombre U;Marca U;Presentacion U;2;ml;572;17230
1000000000073;2;2;Nombre V;Marca V;Presentacion V;5;gr;573;17385
1000000000074;3;3;Nombre W;Marca W;Presentacion W;5;gr;574;17540
1000000000075;4;4;Nombre X;Marca X;Presentacion X;6;gr;575;17695
1000000000076;5;5;Nombre Y;Marca Y;Presentacion Y;4;ml;576;17850
1000000000077;6;6;Nombre Z;Marca Z;Presentacion Z;1;gr;577;18005
1000000000078;7;7;Nombre A;Marca A;Presentacion A;6;ml;578;18160
1000000000079;8;8;Nombre B;Marca B;Presentacion B;3;ml;579;18315
1000000000080;9;9;Nombre C;Marca C;Presentacion C;10;gr;580;18470
1000000000081;1;1;Nombre D;Marca D;Presentacion D;4;ml;581;18625
1000000000082;2;2;Nombre E;Marca E;Presentacion E;4;ml;582;18780
1000000000083;3;3;Nombre F;Marca F;Presentacion F;7;gr;583;18935
1000000000084;4;4;Nombre G;Marca G;Presentacion G;9;gr;584;19090
1000000000085;5;5;Nombre H;Marca H;Presentacion H;2;gr;585;19245
1000000000086;6;6;Nombre I;Marca I;Presentacion I;8;ml;586;19400
1000000000087;7;7;Nombre J;Marca J;Presentacion J;3;gr;587;19555
1000000000088;8;8;Nombre K;Marca K;Presentacion K;1;ml;588;19710
1000000000089;9;9;Nombre L;Marca L;Presentacion L;6;ml;589;19865
1000000000090;1;1;Nombre M;Marca M;Presentacion M;1;gr;590;20020
1000000000091;2;2;Nombre N;Marca N;Presentacion N;9;ml;591;20175
1000000000092;3;3;Nombre O;Marca O;Presentacion O;1;ml;592;20330
1000000000093;4;4;Nombre P;Marca P;Presentacion P;5;gr;593;20485
1000000000094;5;5;Nombre Q;Marca Q;Presentacion Q;3;gr;594;20640
1000000000095;6;6;Nombre R;Marca R;Presentacion R;3;gr;595;20795
1000000000096;7;7;Nombre S;Marca S;Presentacion S;4;ml;596;20950
1000000000097;8;8;Nombre T;Marca T;Presentacion T;4;gr;597;21105
1000000000098;9;9;Nombre U;Marca U;Presentacion U;9;ml;598;21260
1000000000099;1;1;Nombre V;Marca V;Presentacion V;3;ml;599;21415
1000000000100;2;2;Nombre W;Marca W;Presentacion W;10;gr;600;21570
1000000000101;3;3;Nombre X;Marca X;Presentacion X;9;ml;601;21725
1000000000102;4;4;Nombre Y;Marca Y;Presentacion Y;9;ml;602;21880
1000000000103;5;5;Nombre Z;Marca Z;Presentacion Z;4;gr;603;22035
1000000000104;6;6;Nombre A;Marca A;Presentacion A;6;gr;604;22190
1000000000105;7;7;Nombre B;Marca B;Presentacion B;1;gr;605;22345
1000000000106;8;8;Nombre C;Marca C;Presentacion C;4;ml;606;22500
1000000000107;9;9;Nombre D;Marca D;Presentacion D;4;gr;607;22655
1000000000108;1;1;Nombre E;Marca E;Presentacion E;9;ml;608;22810
1000000000109;2;2;Nombre F;Marca F;Presentacion F;10;ml;609;22965
1000000000110;3;3;Nombre G;Marca G;Presentacion G;9;gr;610;23120
1000000000111;4;4;Nombre H;Marca H;Presentacion H;6;ml;611;23275
1000000000112;5;5;Nombre I;Marca I;Presentacion I;7;ml;612;23430
1000000000113;6;6;Nombre J;Marca J;Presentacion J;3;gr;613;23585
1000000000114;7;7;Nombre K;Marca K;Presentacion K;8;gr;614;23740
1000000000115;8;8;Nombre L;Marca L;Presentacion L;9;gr;615;23895
1000000000116;9;9;Nombre M;Marca M;Presentacion M;2;ml;616;24050
1000000000117;1;1;Nombre N;Marca N;Presentacion N;2;gr;617;24205
1000000000118;2;2;Nombre O;Marca O;Presentacion O;2;ml;618;24360
1000000000119;3;3;Nombre P;Marca P;Presentacion P;4;ml;619;24515
1000000000120;4;4;Nombre Q;Marca Q;Presentacion Q;10;gr;620;24670
1000000000121;5;5;Nombre R;Marca R;Presentacion R;7;ml;621;24825
1000000000122;6;6;Nombre S;Marca S;Presentacion S;3;ml;622;24980
1000000000123;7;7;Nombre T;Marca T;Presentacion T;6;gr;623;25135
1000000000124;8;8;Nombre U;Marca U;Presentacion U;8;gr;624;25290
1000000000125;9;9;Nombre V;Marca V;Presentacion V;5;gr;625;25445
1000000000126;1;1;Nombre W;Marca W;Presentacion W;8;ml;626;25600
1000000000127;2;2;Nombre X;Marca X;Presentacion X;4;gr;627;25755
1000000000128;3;3;Nombre Y;Marca Y;Presentacion Y;6;ml;628;25910
1000000000129;4;4;Nombre Z;Marca Z;Presentacion Z;5;ml;629;26065
1000000000130;5;5;Nombre A;Marca A;Presentacion A;3;gr;630;26220
1000000000131;6;6;Nombre B;Marca B;Presentacion B;3;ml;631;26375
1000000000132;7;7;Nombre C;Marca C;Presentacion C;10;ml;632;26530
1000000000133;8;8;Nombre D;Marca D;Presentacion D;1;gr;633;26685
1000000000134;9;9;Nombre E;Marca E;Presentacion E;10;gr;634;26840
1000000000135;1;1;Nombre F;Marca F;Presentacion F;6;gr;635;26995
1000000000136;2;2;Nombre G;Marca G;Presentacion G;4;ml;636;27150
1000000000137;3;3;Nombre H;Marca H;Presentacion H;4;gr;637;27305
1000000000138;4;4;Nombre I;Marca I;Presentacion I;3;ml;638;27460
1000000000139;5;5;Nombre J;Marca J;Presentacion J;9;ml;639;27615
1000000000140;6;6;Nombre K;Marca K;Presentacion K;2;gr;640;27770
1000000000141;7;7;Nombre L;Marca L;Presentacion L;9;ml;641;27925
1000000000142;8;8;Nombre M;Marca M;Presentacion M;6;ml;642;28080
1000000000143;9;9;Nombre N;Marca N;Presentacion N;10;gr;643;28235
1000000000144;1;1;Nombre O;Marca O;Presentacion O;4;gr;644;28390
1000000000145;2;2;Nombre P;Marca P;Presentacion P;1;gr;645;28545
1000000000146;3;3;Nombre Q;Marca Q;Presentacion Q;8;ml;646;28700
1000000000147;4;4;Nombre R;Marca R;Presentacion R;3;gr;647;28855
1000000000148;5;5;Nombre S;Marca S;Presentacion S;2;ml;648;29010
1000000000149;6;6;Nombre T;Marca T;Presentacion T;10;ml;649;29165
1000000000150;7;7;Nombre U;Marca U;Presentacion U;5;gr;650;29320
1000000000151;8;8;Nombre V;Marca V;Presentacion V;9;ml;651;29475
1000000000152;9;9;Nombre W;Marca W;Presentacion W;5;ml;652;29630
1000000000153;1;1;Nombre X;Marca X;Presentacion X;6;gr;653;29785
1000000000154;2;2;Nombre Y;Marca Y;Presentacion Y;2;gr;654;29940
1000000000155;3;3;Nombre Z;Marca Z;Presentacion Z;9;gr;655;30095
1000000000156;4;4;Nombre A;Marca A;Presentacion A;9;ml;656;30250
1000000000157;5;5;Nombre B;Marca B;Presentacion B;4;gr;657;30405
1000000000158;6;6;Nombre C;Marca C;Presentacion C;3;ml;658;30560
1000000000159;7;7;Nombre D;Marca D;Presentacion D;3;ml;659;30715
1000000000160;8;8;Nombre E;Marca E;Presentacion E;3;gr;660;30870
1000000000161;9;9;Nombre F;Marca F;Presentacion F;3;ml;661;31025
1000000000162;1;1;Nombre G;Marca G;Presentacion G;4;ml;662;31180
1000000000163;2;2;Nombre H;Marca H;Presentacion H;1;gr;663;31335
1000000000164;3;3;Nombre I;Marca I;Presentacion I;5;gr;664;31490
1000000000165;4;4;Nombre J;Marca J;Presentacion J;1;gr;665;31645
1000000000166;5;5;Nombre K;Marca K;Presentacion K;8;ml;666;31800
1000000000167;6;6;Nombre L;Marca L;Presentacion L;8;gr;667;31955
1000000000168;7;7;Nombre M;Marca M;Presentacion M;10;ml;668;32110
1000000000169;8;8;Nombre N;Marca N;Presentacion N;5;ml;669;32265
1000000000170;9;9;Nombre O;Marca O;Presentacion O;3;gr;670;32420
1000000000171;1;1;Nombre P;Marca P;Presentacion P;4;ml;671;32575
1000000000172;2;2;Nombre Q;Marca Q;Presentacion Q;3;ml;672;32730
1000000000173;3;3;Nombre R;Marca R;Presentacion R;5;gr;673;32885
1000000000174;4;4;Nombre S;Marca S;Presentacion S;6;gr;674;33040
1000000000175;5;5;Nombre T;Marca T;Presentacion T;3;gr;675;33195
1000000000176;6;6;Nombre U;Marca U;Presentacion U;9;ml;676;33350
1000000000177;7;7;Nombre V;Marca V;Presentacion V;6;gr;677;33505
1000000000178;8;8;Nombre W;Marca W;Presentacion W;9;ml;678;33660
1000000000179;9;9;Nombre X;Marca X;Presentacion X;8;ml;679;33815
1000000000180;1;1;Nombre Y;Marca Y;Presentacion Y;6;gr;680;33970
1000000000181;2;2;Nombre Z;Marca Z;Presentacion Z;6;ml;681;34125
1000000000182;3;3;Nombre A;Marca A;Presentacion A;9;ml;682;34280
1000000000183;4;4;Nombre B;Marca B;Presentacion B;10;gr;683;34435
1000000000184;5;5;Nombre C;Marca C;Presentacion C;7;gr;684;34590
1000000000185;6;6;Nombre D;Marca D;Presentacion D;3;gr;685;34745
1000000000186;7;7;Nombre E;Marca E;Presentacion E;5;ml;686;34900
1000000000187;8;8;Nombre F;Marca F;Presentacion F;7;gr;687;35055
1000000000188;9;9;Nombre G;Marca G;Presentacion G;10;ml;688;35210
1000000000189;1;1;Nombre H;Marca H;Presentacion H;4;ml;689;35365
1000000000190;2;2;Nombre I;Marca I;Presentacion I;9;gr;690;35520
1000000000191;3;3;Nombre J;Marca J;Presentacion J;9;ml;691;35675
1000000000192;4;4;Nombre K;Marca K;Presentacion K;2;ml;692;35830
1000000000193;5;5;Nombre L;Marca L;Presentacion L;6;gr;693;35985
1000000000194;6;6;Nombre M;Marca M;Presentacion M;9;gr;694;36140
1000000000195;7;7;Nombre N;Marca N;Presentacion N;4;gr;695;36295
1000000000196;8;8;Nombre O;Marca O;Presentacion O;1;ml;696;36450
1000000000197;9;9;Nombre P;Marca P;Presentacion P;8;gr;697;36605
1000000000198;1;1;Nombre Q;Marca Q;Presentacion Q;10;ml;698;36760
1000000000199;2;2;Nombre R;Marca R;Presentacion R;4;ml;699;36915
1000000000200;3;3;Nombre S;Marca S;Presentacion S;9;gr;700;37070
1000000000201;4;4;Nombre T;Marca T;Presentacion T;10;ml;701;37225
1000000000202;5;5;Nombre U;Marca U;Presentacion U;8;ml;702;37380
1000000000203;6;6;Nombre V;Marca V;Presentacion V;9;gr;703;37535
1000000000204;7;7;Nombre W;Marca W;Presentacion W;6;gr;704;37690
1000000000205;8;8;Nombre X;Marca X;Presentacion X;5;gr;705;37845
1000000000206;9;9;Nombre Y;Marca Y;Presentacion Y;5;ml;706;38000
1000000000207;1;1;Nombre Z;Marca Z;Presentacion Z;10;gr;707;38155
1000000000208;2;2;Nombre A;Marca A;Presentacion A;8;ml;708;38310
1000000000209;3;3;Nombre B;Marca B;Presentacion B;10;ml;709;38465
1000000000210;4;4;Nombre C;Marca C;Presentacion C;5;gr;710;38620
1000000000211;5;5;Nombre D;Marca D;Presentacion D;2;ml;711;38775
1000000000212;6;6;Nombre E;Marca E;Presentacion E;1;ml;712;38930
1000000000213;7;7;Nombre F;Marca F;Presentacion F;10;gr;713;39085
1000000000214;8;8;Nombre G;Marca G;Presentacion G;5;gr;714;39240
1000000000215;9;9;Nombre H;Marca H;Presentacion H;4;gr;715;39395
1000000000216;1;1;Nombre I;Marca I;Presentacion I;7;ml;716;39550
1000000000217;2;2;Nombre J;Marca J;Presentacion J;7;gr;717;39705
1000000000218;3;3;Nombre K;Marca K;Presentacion K;5;ml;718;39860
1000000000219;4;4;Nombre L;Marca L;Presentacion L;9;ml;719;40015
1000000000220;5;5;Nombre M;Marca M;Presentacion M;8;gr;720;40170
1000000000221;6;6;Nombre N;Marca N;Presentacion N;1;ml;721;40325
1000000000222;7;7;Nombre O;Marca O;Presentacion O;3;ml;722;40480
1000000000223;8;8;Nombre P;Marca P;Presentacion P;10;gr;723;40635
1000000000224;9;9;Nombre Q;Marca Q;Presentacion Q;7;gr;724;40790
1000000000225;1;1;Nombre R;Marca R;Presentacion R;10;gr;725;40945
1000000000226;2;2;Nombre S;Marca S;Presentacion S;3;ml;726;41100
1000000000227;3;3;Nombre T;Marca T;Presentacion T;5;gr;727;41255
1000000000228;4;4;Nombre U;Marca U;Presentacion U;3;ml;728;41410
1000000000229;5;5;Nombre V;Marca V;Presentacion V;9;ml;729;41565
1000000000230;6;6;Nombre W;Marca W;Presentacion W;1;gr;730;41720
1000000000231;7;7;Nombre X;Marca X;Presentacion X;2;ml;731;41875
1000000000232;8;8;Nombre Y;Marca Y;Presentacion Y;6;ml;732;42030
1000000000233;9;9;Nombre Z;Marca Z;Presentacion Z;10;gr;733;42185
1000000000234;1;1;Nombre A;Marca A;Presentacion A;6;gr;734;42340
1000000000235;2;2;Nombre B;Marca B;Presentacion B;2;gr;735;42495
1000000000236;3;3;Nombre C;Marca C;Presentacion C;9;ml;736;42650
1000000000237;4;4;Nombre D;Marca D;Presentacion D;9;gr;737;42805
1000000000238;5;5;Nombre E;Marca E;Presentacion E;1;ml;738;42960
1000000000239;6;6;Nombre F;Marca F;Presentacion F;4;ml;739;43115
1000000000240;7;7;Nombre G;Marca G;Presentacion G;2;gr;740;43270
1000000000241;8;8;Nombre H;Marca H;Presentacion H;4;ml;741;43425
1000000000242;9;9;Nombre I;Marca I;Presentacion I;5;ml;742;43580
1000000000243;1;1;Nombre J;Marca J;Presentacion J;5;gr;743;43735
1000000000244;2;2;Nombre K;Marca K;Presentacion K;6;gr;744;43890
1000000000245;3;3;Nombre L;Marca L;Presentacion L;6;gr;745;44045
1000000000246;4;4;Nombre M;Marca M;Presentacion M;9;ml;746;44200
1000000000247;5;5;Nombre N;Marca N;Presentacion N;5;gr;747;44355
1000000000248;6;6;Nombre O;Marca O;Presentacion O;2;ml;748;44510
1000000000249;7;7;Nombre P;Marca P;Presentacion P;7;ml;749;44665
1000000000250;8;8;Nombre Q;Marca Q;Presentacion Q;2;gr;750;44820
1000000000251;9;9;Nombre R;Marca R;Presentacion R;5;ml;751;44975
1000000000252;1;1;Nombre S;Marca S;Presentacion S;2;ml;752;45130
1000000000253;2;2;Nombre T;Marca T;Presentacion T;5;gr;753;45285
1000000000254;3;3;Nombre U;Marca U;Presentacion U;10;gr;754;45440
1000000000255;4;4;Nombre V;Marca V;Presentacion V;3;gr;755;45595
1000000000256;5;5;Nombre W;Marca W;Presentacion W;9;ml;756;45750
1000000000257;6;6;Nombre X;Marca X;Presentacion X;9;gr;757;45905
1000000000258;7;7;Nombre Y;Marca Y;Presentacion Y;2;ml;758;46060
1000000000259;8;8;Nombre Z;Marca Z;Presentacion Z;7;ml;759;46215
1000000000260;9;9;Nombre A;Marca A;Presentacion A;3;gr;760;46370
1000000000261;1;1;Nombre B;Marca B;Presentacion B;4;ml;761;46525
1000000000262;2;2;Nombre C;Marca C;Presentacion C;2;ml;762;46680
1000000000263;3;3;Nombre D;Marca D;Presentacion D;4;gr;763;46835
1000000000264;4;4;Nombre E;Marca E;Presentacion E;8;gr;764;46990
1000000000265;5;5;Nombre F;Marca F;Presentacion F;3;gr;765;47145
1000000000266;6;6;Nombre G;Marca G;Presentacion G;1;ml;766;47300
1000000000267;7;7;Nombre H;Marca H;Presentacion H;5;gr;767;47455
1000000000268;8;8;Nombre I;Marca I;Presentacion I;6;ml;768;47610
1000000000269;9;9;Nombre J;Marca J;Presentacion J;3;ml;769;47765
1000000000270;1;1;Nombre K;Marca K;Presentacion K;6;gr;770;47920
1000000000271;2;2;Nombre L;Marca L;Presentacion L;1;ml;771;48075
1000000000272;3;3;Nombre M;Marca M;Presentacion M;1;ml;772;48230
1000000000273;4;4;Nombre N;Marca N;Presentacion N;1;gr;773;48385
1000000000274;5;5;Nombre O;Marca O;Presentacion O;5;gr;774;48540
1000000000275;6;6;Nombre P;Marca P;Presentacion P;5;gr;775;48695
1000000000276;7;7;Nombre Q;Marca Q;Presentacion Q;1;ml;776;48850
1000000000277;8;8;Nombre R;Marca R;Presentacion R;4;gr;777;49005
1000000000278;9;9;Nombre S;Marca S;Presentacion S;8;ml;778;49160
1000000000279;1;1;Nombre T;Marca T;Presentacion T;3;ml;779;49315
1000000000280;2;2;Nombre U;Marca U;Presentacion U;8;gr;780;49470
1000000000281;3;3;Nombre V;Marca V;Presentacion V;10;ml;781;49625
1000000000282;4;4;Nombre W;Marca W;Presentacion W;8;ml;782;49780
1000000000283;5;5;Nombre X;Marca X;Presentacion X;1;gr;783;49935
1000000000284;6;6;Nombre Y;Marca Y;Presentacion Y;1;gr;784;50090
1000000000285;7;7;Nombre Z;Marca Z;Presentacion Z;5;gr;785;50245
1000000000286;8;8;Nombre A;Marca A;Presentacion A;6;ml;786;50400
1000000000287;9;9;Nombre B;Marca B;Presentacion B;1;gr;787;50555
1000000000288;1;1;Nombre C;Marca C;Presentacion C;6;ml;788;50710
1000000000289;2;2;Nombre D;Marca D;Presentacion D;7;ml;789;50865
1000000000290;3;3;Nombre E;Marca E;Presentacion E;9;gr;790;51020
1000000000291;4;4;Nombre F;Marca F;Presentacion F;4;ml;791;51175
1000000000292;5;5;Nombre G;Marca G;Presentacion G;3;ml;792;51330
1000000000293;6;6;Nombre H;Marca H;Presentacion H;9;gr;793;51485
1000000000294;7;7;Nombre I;Marca I;Presentacion I;3;gr;794;51640
1000000000295;8;8;Nombre J;Marca J;Presentacion J;4;gr;795;51795
1000000000296;9;9;Nombre K;Marca K;Presentacion K;4;ml;796;51950
1000000000297;1;1;Nombre L;Marca L;Presentacion L;9;gr;797;52105
1000000000298;2;2;Nombre M;Marca M;Presentacion M;9;ml;798;52260
1000000000299;3;3;Nombre N;Marca N;Presentacion N;2;ml;799;52415
1000000000300;4;4;Nombre O;Marca O;Presentacion O;9;gr;800;52570
1000000000301;5;5;Nombre P;Marca P;Presentacion P;1;ml;801;52725
1000000000302;6;6;Nombre Q;Marca Q;Presentacion Q;3;ml;802;52880
1000000000303;7;7;Nombre R;Marca R;Presentacion R;7;gr;803;53035
1000000000304;8;8;Nombre S;Marca S;Presentacion S;8;gr;804;53190
1000000000305;9;9;Nombre T;Marca T;Presentacion T;10;gr;805;53345
1000000000306;1;1;Nombre U;Marca U;Presentacion U;8;ml;806;53500
1000000000307;2;2;Nombre V;Marca V;Presentacion V;8;gr;807;53655
1000000000308;3;3;Nombre W;Marca W;Presentacion W;3;ml;808;53810
1000000000309;4;4;Nombre X;Marca X;Presentacion X;1;ml;809;53965
1000000000310;5;5;Nombre Y;Marca Y;Presentacion Y;4;gr;810;54120
1000000000311;6;6;Nombre Z;Marca Z;Presentacion Z;6;ml;811;54275
1000000000312;7;7;Nombre A;Marca A;Presentacion A;10;ml;812;54430
1000000000313;8;8;Nombre B;Marca B;Presentacion B;2;gr;813;54585
1000000000314;9;9;Nombre C;Marca C;Presentacion C;9;gr;814;54740
1000000000315;1;1;Nombre D;Marca D;Presentacion D;4;gr;815;54895
1000000000316;2;2;Nombre E;Marca E;Presentacion E;1;ml;816;55050
1000000000317;3;3;Nombre F;Marca F;Presentacion F;8;gr;817;55205
1000000000318;4;4;Nombre G;Marca G;Presentacion G;8;ml;818;55360
1000000000319;5;5;Nombre H;Marca H;Presentacion H;3;ml;819;55515
1000000000320;6;6;Nombre I;Marca I;Presentacion I;9;gr;820;55670
1000000000321;7;7;Nombre J;Marca J;Presentacion J;8;ml;821;55825
1000000000322;8;8;Nombre K;Marca K;Presentacion K;6;ml;822;55980
1000000000323;9;9;Nombre L;Marca L;Presentacion L;7;gr;823;56135
1000000000324;1;1;Nombre M;Marca M;Presentacion M;4;gr;824;56290
1000000000325;2;2;Nombre N;Marca N;Presentacion N;1;gr;825;56445
1000000000326;3;3;Nombre O;Marca O;Presentacion O;1;ml;826;56600
1000000000327;4;4;Nombre P;Marca P;Presentacion P;1;gr;827;56755
1000000000328;5;5;Nombre Q;Marca Q;Presentacion Q;6;ml;828;56910
1000000000329;6;6;Nombre R;Marca R;Presentacion R;3;ml;829;57065
1000000000330;7;7;Nombre S;Marca S;Presentacion S;6;gr;830;57220
1000000000331;8;8;Nombre T;Marca T;Presentacion T;1;ml;831;57375
1000000000332;9;9;Nombre U;Marca U;Presentacion U;4;ml;832;57530
1000000000333;1;1;Nombre V;Marca V;Presentacion V;1;gr;833;57685
1000000000334;2;2;Nombre W;Marca W;Presentacion W;1;gr;834;57840
1000000000335;3;3;Nombre X;Marca X;Presentacion X;7;gr;835;57995
1000000000336;4;4;Nombre Y;Marca Y;Presentacion Y;3;ml;836;58150
1000000000337;5;5;Nombre Z;Marca Z;Presentacion Z;5;gr;837;58305
1000000000338;6;6;Nombre A;Marca A;Presentacion A;1;ml;838;58460
1000000000339;7;7;Nombre B;Marca B;Presentacion B;3;ml;839;58615
1000000000340;8;8;Nombre C;Marca C;Presentacion C;7;gr;840;58770
1000000000341;9;9;Nombre D;Marca D;Presentacion D;7;ml;841;58925
1000000000342;1;1;Nombre E;Marca E;Presentacion E;7;ml;842;59080
1000000000343;2;2;Nombre F;Marca F;Presentacion F;10;gr;843;59235
1000000000344;3;3;Nombre G;Marca G;Presentacion G;8;gr;844;59390
1000000000345;4;4;Nombre H;Marca H;Presentacion H;6;gr;845;59545
1000000000346;5;5;Nombre I;Marca I;Presentacion I;1;ml;846;59700
1000000000347;6;6;Nombre J;Marca J;Presentacion J;7;gr;847;59855
1000000000348;7;7;Nombre K;Marca K;Presentacion K;8;ml;848;60010
1000000000349;8;8;Nombre L;Marca L;Presentacion L;8;ml;849;60165
1000000000350;9;9;Nombre M;Marca M;Presentacion M;6;gr;850;60320
1000000000351;1;1;Nombre N;Marca N;Presentacion N;9;ml;851;60475
1000000000352;2;2;Nombre O;Marca O;Presentacion O;8;ml;852;60630
1000000000353;3;3;Nombre P;Marca P;Presentacion P;8;gr;853;60785
1000000000354;4;4;Nombre Q;Marca Q;Presentacion Q;1;gr;854;60940
1000000000355;5;5;Nombre R;Marca R;Presentacion R;10;gr;855;61095
1000000000356;6;6;Nombre S;Marca S;Presentacion S;4;ml;856;61250
1000000000357;7;7;Nombre T;Marca T;Presentacion T;9;gr;857;61405
1000000000358;8;8;Nombre U;Marca U;Presentacion U;9;ml;858;61560
1000000000359;9;9;Nombre V;Marca V;Presentacion V;3;ml;859;61715
1000000000360;1;1;Nombre W;Marca W;Presentacion W;6;gr;860;61870
