CODIGOBARRAS;IDSUCURSAL;PRECIOUNITARIO;PRECIOUNIDADMEDIDA;NUMERORECOMPRA;NIVELREORDEN;
1000000000093;94;5930;0.289;22;86;
1000000000094;95;5940;0.288;23;87;
1000000000095;96;5950;0.286;24;88;
1000000000096;97;5960;0.284;25;89;
1000000000097;98;5970;0.283;26;90;
1000000000098;99;5980;0.281;27;91;
1000000000099;100;5990;0.280;28;92;
1000000000100;101;6000;0.278;29;93;
1000000000101;102;6010;0.277;30;94;
1000000000102;103;6020;0.275;31;95;
1000000000103;104;6030;0.274;32;96;
1000000000104;105;6040;0.272;33;97;
1000000000105;106;6050;0.271;34;98;
1000000000106;107;6060;0.269;35;99;
1000000000107;108;6070;0.268;36;100;
1000000000108;109;6080;0.267;10;101;
1000000000109;110;6090;0.265;11;102;
1000000000110;111;6100;0.264;12;103;
1000000000111;112;6110;0.263;13;104;
1000000000112;113;6120;0.261;14;105;
1000000000113;114;6130;0.260;15;106;
1000000000114;115;6140;0.259;16;50;
1000000000115;116;6150;0.257;17;51;
1000000000116;117;6160;0.256;18;52;
1000000000117;118;6170;0.255;19;53;
1000000000118;119;6180;0.254;20;54;
1000000000119;120;6190;0.252;21;55;
1000000000120;121;6200;0.251;22;56;
1000000000121;122;6210;0.250;23;57;
1000000000122;123;6220;0.249;24;58;
1000000000123;124;6230;0.248;25;59;
1000000000124;125;6240;0.247;26;60;
1000000000125;126;6250;0.246;27;61;
1000000000126;127;6260;0.245;28;62;
1000000000127;128;6270;0.243;29;63;
1000000000128;129;6280;0.242;30;64;
1000000000129;130;6290;0.241;31;65;
1000000000130;131;6300;0.240;32;66;
1000000000131;132;6310;0.239;33;67;
1000000000132;133;6320;0.238;34;68;
1000000000133;134;6330;0.237;35;69;
1000000000134;135;6340;0.236;36;70;
1000000000135;136;6350;0.235;10;71;
1000000000136;137;6360;0.234;11;72;
1000000000137;138;6370;0.233;12;73;
1000000000138;139;6380;0.232;13;74;
1000000000139;140;6390;0.231;14;75;
1000000000140;141;6400;0.230;15;76;
1000000000141;142;6410;0.230;16;77;
1000000000142;143;6420;0.229;17;78;
1000000000143;144;6430;0.228;18;79;
1000000000144;145;6440;0.227;19;80;
1000000000145;146;6450;0.226;20;81;
1000000000146;147;6460;0.225;21;82;
1000000000147;148;6470;0.224;22;83;
1000000000148;149;6480;0.223;23;84;
1000000000149;150;6490;0.223;24;85;
1000000000150;1;6500;0.222;25;86;
1000000000151;2;6510;0.221;26;87;
1000000000152;3;6520;0.220;27;88;
1000000000153;4;6530;0.219;28;89;
1000000000154;5;6540;0.218;29;90;
1000000000155;6;6550;0.218;30;91;
1000000000156;7;6560;0.217;31;92;
1000000000157;8;6570;0.216;32;93;
1000000000158;9;6580;0.215;33;94;
1000000000159;10;6590;0.215;34;95;
1000000000160;11;6600;0.214;35;96;
1000000000161;12;6610;0.213;36;97;
1000000000162;13;6620;0.212;10;98;
1000000000163;14;6630;0.212;11;99;
1000000000164;15;6640;0.211;12;100;
1000000000165;16;6650;0.210;13;101;
1000000000166;17;6660;0.209;14;102;
1000000000167;18;6670;0.209;15;103;
1000000000168;19;6680;0.208;16;104;
1000000000169;20;6690;0.207;17;105;
1000000000170;21;6700;0.207;18;106;
1000000000171;22;6710;0.206;19;50;
1000000000172;23;6720;0.205;20;51;
1000000000173;24;6730;0.205;21;52;
1000000000174;25;6740;0.204;22;53;
1000000000175;26;6750;0.203;23;54;
1000000000176;27;6760;0.203;24;55;
1000000000177;28;6770;0.202;25;56;
1000000000178;29;6780;0.201;26;57;
1000000000179;30;6790;0.201;27;58;
1000000000180;31;6800;0.200;28;59;
1000000000181;32;6810;0.200;29;60;
1000000000182;33;6820;0.199;30;61;
1000000000183;34;6830;0.198;31;62;
1000000000184;35;6840;0.198;32;63;
1000000000185;36;6850;0.197;33;64;
1000000000186;37;6860;0.197;34;65;
1000000000187;38;6870;0.196;35;66;
1000000000188;39;6880;0.195;36;67;
1000000000189;40;6890;0.195;10;68;
1000000000190;41;6900;0.194;11;69;
1000000000191;42;6910;0.194;12;70;
1000000000192;43;6920;0.193;13;71;
1000000000193;44;6930;0.193;14;72;
1000000000194;45;6940;0.192;15;73;
1000000000195;46;6950;0.191;16;74;
1000000000196;47;6960;0.191;17;75;
1000000000197;48;6970;0.190;18;76;
1000000000198;49;6980;0.190;19;77;
1000000000199;50;6990;0.189;20;78;
1000000000200;51;7000;0.189;21;79;
1000000000201;52;7010;0.188;22;80;
1000000000202;53;7020;0.188;23;81;
1000000000203;54;7030;0.187;24;82;
1000000000204;55;7040;0.187;25;83;
1000000000205;56;7050;0.186;26;84;
1000000000206;57;7060;0.186;27;85;
1000000000207;58;7070;0.185;28;86;
1000000000208;59;7080;0.185;29;87;
1000000000209;60;7090;0.184;30;88;
1000000000210;61;7100;0.184;31;89;
1000000000211;62;7110;0.183;32;90;
1000000000212;63;7120;0.183;33;91;
1000000000213;64;7130;0.182;34;92;
1000000000214;65;7140;0.182;35;93;
1000000000215;66;7150;0.181;36;94;
1000000000216;67;7160;0.181;10;95;
1000000000217;68;7170;0.181;11;96;
1000000000218;69;7180;0.180;12;97;
1000000000219;70;7190;0.180;13;98;
1000000000220;71;7200;0.179;14;99;
1000000000221;72;7210;0.179;15;100;
1000000000222;73;7220;0.178;16;101;
1000000000223;74;7230;0.178;17;102;
1000000000224;75;7240;0.177;18;103;
1000000000225;76;7250;0.177;19;104;
1000000000226;77;7260;0.177;20;105;
1000000000227;78;7270;0.176;21;106;
1000000000228;79;7280;0.176;22;50;
1000000000229;80;7290;0.175;23;51;
1000000000230;81;7300;0.175;24;52;
1000000000231;82;7310;0.175;25;53;
1000000000232;83;7320;0.174;26;54;
1000000000233;84;7330;0.174;27;55;
1000000000234;85;7340;0.173;28;56;
1000000000235;86;7350;0.173;29;57;
1000000000236;87;7360;0.173;30;58;
1000000000237;88;7370;0.172;31;59;
1000000000238;89;7380;0.172;32;60;
1000000000239;90;7390;0.171;33;61;
1000000000240;91;7400;0.171;34;62;
1000000000241;92;7410;0.171;35;63;
1000000000242;93;7420;0.170;36;64;
1000000000243;94;7430;0.170;10;65;
1000000000244;95;7440;0.170;11;66;
1000000000245;96;7450;0.169;12;67;
1000000000246;97;7460;0.169;13;68;
1000000000247;98;7470;0.168;14;69;
1000000000248;99;7480;0.168;15;70;
1000000000249;100;7490;0.168;16;71;
1000000000250;101;7500;0.167;17;72;
1000000000251;102;7510;0.167;18;73;
1000000000252;103;7520;0.167;19;74;
1000000000253;104;7530;0.166;20;75;
1000000000254;105;7540;0.166;21;76;
1000000000255;106;7550;0.166;22;77;
1000000000256;107;7560;0.165;23;78;
1000000000257;108;7570;0.165;24;79;
1000000000258;109;7580;0.165;25;80;
1000000000259;110;7590;0.164;26;81;
1000000000260;111;7600;0.164;27;82;
1000000000261;112;7610;0.164;28;83;
1000000000262;113;7620;0.163;29;84;
1000000000263;114;7630;0.163;30;85;
1000000000264;115;7640;0.163;31;86;
1000000000265;116;7650;0.162;32;87;
1000000000266;117;7660;0.162;33;88;
1000000000267;118;7670;0.162;34;89;
1000000000268;119;7680;0.161;35;90;
1000000000269;120;7690;0.161;36;91;
1000000000270;121;7700;0.161;10;92;
1000000000271;122;7710;0.160;11;93;
1000000000272;123;7720;0.160;12;94;
1000000000273;124;7730;0.160;13;95;
1000000000274;125;7740;0.159;14;96;
1000000000275;126;7750;0.159;15;97;
1000000000276;127;7760;0.159;16;98;
1000000000277;128;7770;0.159;17;99;
1000000000278;129;7780;0.158;18;100;
1000000000279;130;7790;0.158;19;101;
1000000000280;131;7800;0.158;20;102;
1000000000281;132;7810;0.157;21;103;
1000000000282;133;7820;0.157;22;104;
1000000000283;134;7830;0.157;23;105;
1000000000284;135;7840;0.157;24;106;
1000000000285;136;7850;0.156;25;50;
1000000000286;137;7860;0.156;26;51;
1000000000287;138;7870;0.156;27;52;
1000000000288;139;7880;0.155;28;53;
1000000000289;140;7890;0.155;29;54;
1000000000290;141;7900;0.155;30;55;
1000000000291;142;7910;0.155;31;56;
1000000000292;143;7920;0.154;32;57;
1000000000293;144;7930;0.154;33;58;
1000000000294;145;7940;0.154;34;59;
1000000000295;146;7950;0.153;35;60;
1000000000296;147;7960;0.153;36;61;
1000000000297;148;7970;0.153;10;62;
1000000000298;149;7980;0.153;11;63;
1000000000299;150;7990;0.152;12;64;
1000000000300;1;8000;0.152;13;65;
1000000000301;2;8010;0.152;14;66;
1000000000302;3;8020;0.152;15;67;
1000000000303;4;8030;0.151;16;68;
1000000000304;5;8040;0.151;17;69;
1000000000305;6;8050;0.151;18;70;
1000000000306;7;8060;0.151;19;71;
1000000000307;8;8070;0.150;20;72;
1000000000308;9;8080;0.150;21;73;
1000000000309;10;8090;0.150;22;74;
1000000000310;11;8100;0.150;23;75;
1000000000311;12;8110;0.149;24;76;
1000000000312;13;8120;0.149;25;77;
1000000000313;14;8130;0.149;26;78;
1000000000314;15;8140;0.149;27;79;
1000000000315;16;8150;0.148;28;80;
1000000000316;17;8160;0.148;29;81;
1000000000317;18;8170;0.148;30;82;
1000000000318;19;8180;0.148;31;83;
1000000000319;20;8190;0.148;32;84;
1000000000320;21;8200;0.147;33;85;
1000000000321;22;8210;0.147;34;86;
1000000000322;23;8220;0.147;35;87;
1000000000323;24;8230;0.147;36;88;
1000000000324;25;8240;0.146;10;89;
1000000000325;26;8250;0.146;11;90;
1000000000326;27;8260;0.146;12;91;
1000000000327;28;8270;0.146;13;92;
1000000000328;29;8280;0.145;14;93;
1000000000329;30;8290;0.145;15;94;
1000000000330;31;8300;0.145;16;95;
1000000000331;32;8310;0.145;17;96;
1000000000332;33;8320;0.145;18;97;
1000000000333;34;8330;0.144;19;98;
1000000000334;35;8340;0.144;20;99;
1000000000335;36;8350;0.144;21;100;
1000000000336;37;8360;0.144;22;101;
1000000000337;38;8370;0.144;23;102;
1000000000338;39;8380;0.143;24;103;
1000000000339;40;8390;0.143;25;104;
1000000000340;41;8400;0.143;26;105;
1000000000341;42;8410;0.143;27;106;
1000000000342;43;8420;0.143;28;50;
1000000000343;44;8430;0.142;29;51;
1000000000344;45;8440;0.142;30;52;
1000000000345;46;8450;0.142;31;53;
1000000000346;47;8460;0.142;32;54;
1000000000347;48;8470;0.142;33;55;
1000000000348;49;8480;0.141;34;56;
1000000000349;50;8490;0.141;35;57;
1000000000350;51;8500;0.141;36;58;
1000000000351;52;8510;0.141;10;59;
1000000000352;53;8520;0.141;11;60;
1000000000353;54;8530;0.140;12;61;
1000000000354;55;8540;0.140;13;62;
1000000000355;56;8550;0.140;14;63;
1000000000356;57;8560;0.140;15;64;
1000000000357;58;8570;0.140;16;65;
1000000000358;59;8580;0.139;17;66;
1000000000359;60;8590;0.139;18;67;
1000000000360;61;8600;0.139;19;68;
1000000000361;62;8610;0.139;20;69;
1000000000362;63;8620;0.139;21;70;
1000000000363;64;8630;0.138;22;71;
1000000000364;65;8640;0.138;23;72;
1000000000365;66;8650;0.138;24;73;
1000000000366;67;8660;0.138;25;74;
1000000000367;68;8670;0.138;26;75;
1000000000368;69;8680;0.138;27;76;
1000000000369;70;8690;0.137;28;77;
1000000000370;71;8700;0.137;29;78;
1000000000371;72;8710;0.137;30;79;
1000000000372;73;8720;0.137;31;80;
1000000000373;74;8730;0.137;32;81;
1000000000374;75;8740;0.136;33;82;
1000000000375;76;8750;0.136;34;83;
1000000000376;77;8760;0.136;35;84;
1000000000377;78;8770;0.136;36;85;
1000000000378;79;8780;0.136;10;86;
1000000000379;80;8790;0.136;11;87;
1000000000380;81;8800;0.135;12;88;
1000000000381;82;8810;0.135;13;89;
1000000000382;83;8820;0.135;14;90;
1000000000383;84;8830;0.135;15;91;
1000000000384;85;8840;0.135;16;92;
1000000000385;86;8850;0.135;17;93;
1000000000386;87;8860;0.134;18;94;
1000000000387;88;8870;0.134;19;95;
1000000000388;89;8880;0.134;20;96;
1000000000389;90;8890;0.134;21;97;
1000000000390;91;8900;0.134;22;98;
1000000000391;92;8910;0.134;23;99;
1000000000392;93;8920;0.133;24;100;
1000000000393;94;8930;0.133;25;101;
1000000000394;95;8940;0.133;26;102;
1000000000395;96;8950;0.133;27;103;
1000000000396;97;8960;0.133;28;104;
1000000000397;98;8970;0.133;29;105;
1000000000398;99;8980;0.133;30;106;
1000000000399;100;8990;0.132;31;50;
1000000000400;101;9000;0.132;32;51;
1000000000401;102;9010;0.132;33;52;
1000000000402;103;9020;0.132;34;53;
1000000000403;104;9030;0.132;35;54;
1000000000404;105;9040;0.132;36;55;
1000000000405;106;9050;0.131;10;56;
1000000000406;107;9060;0.131;11;57;
1000000000407;108;9070;0.131;12;58;
1000000000408;109;9080;0.131;13;59;
1000000000409;110;9090;0.131;14;60;
1000000000410;111;9100;0.131;15;61;
1000000000411;112;9110;0.131;16;62;
1000000000412;113;9120;0.130;17;63;
1000000000413;114;9130;0.130;18;64;
1000000000414;115;9140;0.130;19;65;
1000000000415;116;9150;0.130;20;66;
1000000000416;117;9160;0.130;21;67;
1000000000417;118;9170;0.130;22;68;
1000000000418;119;9180;0.130;23;69;
1000000000419;120;9190;0.129;24;70;
1000000000420;121;9200;0.129;25;71;
1000000000421;122;9210;0.129;26;72;
1000000000422;123;9220;0.129;27;73;
1000000000423;124;9230;0.129;28;74;
1000000000424;125;9240;0.129;29;75;
1000000000425;126;9250;0.129;30;76;
1000000000426;127;9260;0.128;31;77;
1000000000427;128;9270;0.128;32;78;
1000000000428;129;9280;0.128;33;79;
1000000000429;130;9290;0.128;34;80;
1000000000430;131;9300;0.128;35;81;
1000000000431;132;9310;0.128;36;82;
1000000000432;133;9320;0.128;10;83;
1000000000433;134;9330;0.127;11;84;
1000000000434;135;9340;0.127;12;85;
1000000000435;136;9350;0.127;13;86;
1000000000436;137;9360;0.127;14;87;
1000000000437;138;9370;0.127;15;88;
1000000000438;139;9380;0.127;16;89;
1000000000439;140;9390;0.127;17;90;
1000000000440;141;9400;0.127;18;91;
1000000000441;142;9410;0.126;19;92;
1000000000442;143;9420;0.126;20;93;
1000000000443;144;9430;0.126;21;94;
1000000000444;145;9440;0.126;22;95;
1000000000445;146;9450;0.126;23;96;
1000000000446;147;9460;0.126;24;97;
1000000000447;148;9470;0.126;25;98;
1000000000448;149;9480;0.126;26;99;
1000000000449;150;9490;0.125;27;100;
1000000000450;1;9500;0.125;28;101;
1000000000451;2;9510;0.125;29;102;
1000000000452;3;9520;0.125;30;103;
1000000000453;4;9530;0.125;31;104;
1000000000454;5;9540;0.125;32;105;
1000000000455;6;9550;0.125;33;106;
1000000000456;7;9560;0.125;34;50;
1000000000457;8;9570;0.124;35;51;
1000000000458;9;9580;0.124;36;52;
1000000000459;10;9590;0.124;10;53;
1000000000460;11;9600;0.124;11;54;
1000000000461;12;9610;0.124;12;55;
1000000000462;13;9620;0.124;13;56;
1000000000463;14;9630;0.124;14;57;
1000000000464;15;9640;0.124;15;58;
1000000000465;16;9650;0.123;16;59;
1000000000466;17;9660;0.123;17;60;
1000000000467;18;9670;0.123;18;61;
1000000000468;19;9680;0.123;19;62;
1000000000469;20;9690;0.123;20;63;
1000000000470;21;9700;0.123;21;64;
1000000000471;22;9710;0.123;22;65;
1000000000472;23;9720;0.123;23;66;
1000000000473;24;9730;0.123;24;67;
1000000000474;25;9740;0.122;25;68;
1000000000475;26;9750;0.122;26;69;
1000000000476;27;9760;0.122;27;70;
1000000000477;28;9770;0.122;28;71;
1000000000478;29;9780;0.122;29;72;
1000000000479;30;9790;0.122;30;73;
1000000000480;31;9800;0.122;31;74;
1000000000481;32;9810;0.122;32;75;
1000000000482;33;9820;0.122;33;76;
1000000000483;34;9830;0.121;34;77;
1000000000484;35;9840;0.121;35;78;
1000000000485;36;9850;0.121;36;79;
1000000000486;37;9860;0.121;10;80;
1000000000487;38;9870;0.121;11;81;
1000000000488;39;9880;0.121;12;82;
1000000000489;40;9890;0.121;13;83;
1000000000490;41;9900;0.121;14;84;
1000000000491;42;9910;0.121;15;85;
1000000000492;43;9920;0.120;16;86;
1000000000493;44;9930;0.120;17;87;
1000000000494;45;9940;0.120;18;88;
1000000000495;46;9950;0.120;19;89;
1000000000496;47;9960;0.120;20;90;
1000000000497;48;9970;0.120;21;91;
1000000000498;49;9980;0.120;22;92;
1000000000499;50;9990;0.120;23;93;
1000000000500;51;10000;0.120;24;94;
1000000000501;52;10010;0.120;25;95;
1000000000502;53;10020;0.119;26;96;
1000000000503;54;10030;0.119;27;97;
1000000000504;55;10040;0.119;28;98;
1000000000505;56;10050;0.119;29;99;
1000000000506;57;10060;0.119;30;100;
1000000000507;58;10070;0.119;31;101;
1000000000508;59;10080;0.119;32;102;
1000000000509;60;10090;0.119;33;103;
1000000000510;61;10100;0.119;34;104;
1000000000511;62;10110;0.119;35;105;
1000000000512;63;10120;0.118;36;106;
1000000000513;64;10130;0.118;10;50;
1000000000514;65;10140;0.118;11;51;
1000000000515;66;10150;0.118;12;52;
1000000000516;67;10160;0.118;13;53;
1000000000517;68;10170;0.118;14;54;
1000000000518;69;10180;0.118;15;55;
1000000000519;70;10190;0.118;16;56;
1000000000520;71;10200;0.118;17;57;
1000000000521;72;10210;0.118;18;58;
1000000000522;73;10220;0.117;19;59;
1000000000523;74;10230;0.117;20;60;
1000000000524;75;10240;0.117;21;61;
1000000000525;76;10250;0.117;22;62;
1000000000526;77;10260;0.117;23;63;
1000000000527;78;10270;0.117;24;64;
1000000000528;79;10280;0.117;25;65;
1000000000529;80;10290;0.117;26;66;
1000000000530;81;10300;0.117;27;67;
1000000000531;82;10310;0.117;28;68;
1000000000532;83;10320;0.117;29;69;
1000000000533;84;10330;0.116;30;70;
1000000000534;85;10340;0.116;31;71;
1000000000535;86;10350;0.116;32;72;
1000000000536;87;10360;0.116;33;73;
1000000000537;88;10370;0.116;34;74;
1000000000538;89;10380;0.116;35;75;
1000000000539;90;10390;0.116;36;76;
1000000000540;91;10400;0.116;10;77;
1000000000541;92;10410;0.116;11;78;
1000000000542;93;10420;0.116;12;79;
1000000000543;94;10430;0.116;13;80;
1000000000544;95;10440;0.115;14;81;
1000000000545;96;10450;0.115;15;82;
1000000000546;97;10460;0.115;16;83;
1000000000547;98;10470;0.115;17;84;
1000000000548;99;10480;0.115;18;85;
1000000000549;100;10490;0.115;19;86;
1000000000550;101;10500;0.115;20;87;
1000000000551;102;10510;0.115;21;88;
1000000000552;103;10520;0.115;22;89;
1000000000553;104;10530;0.115;23;90;
1000000000554;105;10540;0.115;24;91;
1000000000555;106;10550;0.115;25;92;
1000000000556;107;10560;0.114;26;93;
1000000000557;108;10570;0.114;27;94;
1000000000558;109;10580;0.114;28;95;
1000000000559;110;10590;0.114;29;96;
1000000000560;111;10600;0.114;30;97;
1000000000561;112;10610;0.114;31;98;
1000000000562;113;10620;0.114;32;99;
1000000000563;114;10630;0.114;33;100;
1000000000564;115;10640;0.114;34;101;
1000000000565;116;10650;0.114;35;102;
1000000000566;117;10660;0.114;36;103;
1000000000567;118;10670;0.114;10;104;
1000000000568;119;10680;0.113;11;105;
1000000000569;120;10690;0.113;12;106;
1000000000570;121;10700;0.113;13;50;
1000000000571;122;10710;0.113;14;51;
1000000000572;123;10720;0.113;15;52;
1000000000573;124;10730;0.113;16;53;
1000000000574;125;10740;0.113;17;54;
1000000000575;126;10750;0.113;18;55;
1000000000576;127;10760;0.113;19;56;
1000000000577;128;10770;0.113;20;57;
1000000000578;129;10780;0.113;21;58;
1000000000579;130;10790;0.113;22;59;
1000000000580;131;10800;0.113;23;60;
1000000000581;132;10810;0.112;24;61;
1000000000582;133;10820;0.112;25;62;
1000000000583;134;10830;0.112;26;63;
1000000000584;135;10840;0.112;27;64;
1000000000585;136;10850;0.112;28;65;
1000000000586;137;10860;0.112;29;66;
1000000000587;138;10870;0.112;30;67;
1000000000588;139;10880;0.112;31;68;
1000000000589;140;10890;0.112;32;69;
1000000000590;141;10900;0.112;33;70;
1000000000591;142;10910;0.112;34;71;
1000000000592;143;10920;0.112;35;72;
1000000000593;144;10930;0.112;36;73;
1000000000594;145;10940;0.111;10;74;
1000000000595;146;10950;0.111;11;75;
1000000000596;147;10960;0.111;12;76;
1000000000597;148;10970;0.111;13;77;
1000000000598;149;10980;0.111;14;78;
1000000000599;150;10990;0.111;15;79;
1000000000600;1;11000;0.111;16;80;
1000000000601;2;11010;0.111;17;81;
1000000000602;3;11020;0.111;18;82;
1000000000603;4;11030;0.111;19;83;
1000000000604;5;11040;0.111;20;84;
1000000000605;6;11050;0.111;21;85;
1000000000606;7;11060;0.111;22;86;
1000000000607;8;11070;0.111;23;87;
1000000000608;9;11080;0.110;24;88;
1000000000609;10;11090;0.110;25;89;
1000000000610;11;11100;0.110;26;90;
1000000000611;12;11110;0.110;27;91;
1000000000612;13;11120;0.110;28;92;
1000000000613;14;11130;0.110;29;93;
1000000000614;15;11140;0.110;30;94;
1000000000615;16;11150;0.110;31;95;
1000000000616;17;11160;0.110;32;96;
1000000000617;18;11170;0.110;33;97;
1000000000618;19;11180;0.110;34;98;
1000000000619;20;11190;0.110;35;99;
1000000000620;21;11200;0.110;36;100;
1000000000621;22;11210;0.110;10;101;
1000000000622;23;11220;0.109;11;102;
1000000000623;24;11230;0.109;12;103;
1000000000624;25;11240;0.109;13;104;
1000000000625;26;11250;0.109;14;105;
1000000000626;27;11260;0.109;15;106;
1000000000627;28;11270;0.109;16;50;
1000000000628;29;11280;0.109;17;51;
1000000000629;30;11290;0.109;18;52;
1000000000630;31;11300;0.109;19;53;
1000000000631;32;11310;0.109;20;54;
1000000000632;33;11320;0.109;21;55;
1000000000633;34;11330;0.109;22;56;
1000000000634;35;11340;0.109;23;57;
1000000000635;36;11350;0.109;24;58;
1000000000636;37;11360;0.109;25;59;
1000000000637;38;11370;0.108;26;60;
1000000000638;39;11380;0.108;27;61;
1000000000639;40;11390;0.108;28;62;
1000000000640;41;11400;0.108;29;63;
1000000000641;42;11410;0.108;30;64;
1000000000642;43;11420;0.108;31;65;
1000000000643;44;11430;0.108;32;66;
1000000000644;45;11440;0.108;33;67;
1000000000645;46;11450;0.108;34;68;
1000000000646;47;11460;0.108;35;69;
1000000000647;48;11470;0.108;36;70;
1000000000648;49;11480;0.108;10;71;
1000000000649;50;11490;0.108;11;72;
1000000000650;51;11500;0.108;12;73;
1000000000651;52;11510;0.108;13;74;
1000000000652;53;11520;0.108;14;75;
1000000000653;54;11530;0.107;15;76;
1000000000654;55;11540;0.107;16;77;
1000000000655;56;11550;0.107;17;78;
1000000000656;57;11560;0.107;18;79;
1000000000657;58;11570;0.107;19;80;
1000000000658;59;11580;0.107;20;81;
1000000000659;60;11590;0.107;21;82;
1000000000660;61;11600;0.107;22;83;
1000000000661;62;11610;0.107;23;84;
1000000000662;63;11620;0.107;24;85;
1000000000663;64;11630;0.107;25;86;
1000000000664;65;11640;0.107;26;87;
1000000000665;66;11650;0.107;27;88;
1000000000666;67;11660;0.107;28;89;
1000000000667;68;11670;0.107;29;90;
1000000000668;69;11680;0.107;30;91;
1000000000669;70;11690;0.107;31;92;
1000000000670;71;11700;0.106;32;93;
1000000000671;72;11710;0.106;33;94;
1000000000672;73;11720;0.106;34;95;
1000000000673;74;11730;0.106;35;96;
1000000000674;75;11740;0.106;36;97;
1000000000675;76;11750;0.106;10;98;
1000000000676;77;11760;0.106;11;99;
1000000000677;78;11770;0.106;12;100;
1000000000678;79;11780;0.106;13;101;
1000000000679;80;11790;0.106;14;102;
1000000000680;81;11800;0.106;15;103;
1000000000681;82;11810;0.106;16;104;
1000000000682;83;11820;0.106;17;105;
1000000000683;84;11830;0.106;18;106;
1000000000684;85;11840;0.106;19;50;
1000000000685;86;11850;0.106;20;51;
1000000000686;87;11860;0.106;21;52;
1000000000687;88;11870;0.105;22;53;
1000000000688;89;11880;0.105;23;54;
1000000000689;90;11890;0.105;24;55;
1000000000690;91;11900;0.105;25;56;
1000000000691;92;11910;0.105;26;57;
