IDSUCURSAL;CODIGOBARRASPRODUCTO;IDCATEGORIAPROD;IDTIPOPROD;CAPAVOL;CAPAPESO;CANTIDAD;TIPOALMA;NIVELREAVAST;;;Aleatorio;"""(ENTERO(ALEATORIO()*200)+100)"""
70;1000000000138;4;4;289652;12466840;379;1;63;;;454;
70;1000000000139;5;5;132273;5716305;114;2;6;;;207;
71;1000000000140;6;6;198400;8608700;297;1;34;;;310;
71;1000000000141;7;7;205761;8963925;299;2;51;;;321;
72;1000000000142;8;8;282480;12355200;314;1;35;;;440;
72;1000000000143;9;9;196758;8639910;58;2;48;;;306;
73;1000000000144;1;1;318136;14024660;330;1;64;;;494;
73;1000000000145;2;2;192210;8506410;101;2;50;;;298;
74;1000000000146;3;3;166022;7375900;1;1;17;;;257;
74;1000000000147;4;4;180513;8050545;204;2;41;;;279;
75;1000000000148;5;5;86184;3858330;70;1;23;;;133;
75;1000000000149;6;6;107734;4841390;150;2;3;;;166;
76;1000000000150;7;7;65000;2932000;62;1;15;;;100;
76;1000000000151;8;8;241521;10935225;6;2;22;;;371;
77;1000000000152;9;9;270580;12296450;61;1;24;;;415;
77;1000000000153;1;1;249446;11377870;140;2;64;;;382;
78;1000000000154;2;2;291030;13323300;370;1;66;;;445;
78;1000000000155;3;3;154580;7102420;220;2;4;;;236;
79;1000000000156;4;4;100368;4628250;58;1;16;;;153;
79;1000000000157;5;5;87381;4043865;124;2;14;;;133;
80;1000000000158;6;6;108570;5042400;88;1;21;;;165;
80;1000000000159;7;7;287324;13391740;19;2;69;;;436;
81;1000000000160;8;8;240900;11267550;82;1;47;;;365;
81;1000000000161;9;9;174504;8190600;78;2;21;;;264;
82;1000000000162;1;1;158880;7483200;88;1;45;;;240;
82;1000000000163;2;2;299013;14132085;356;2;13;;;451;
83;1000000000164;3;3;120184;5699690;103;1;5;;;181;
83;1000000000165;4;4;176225;8385925;40;2;13;;;265;
84;1000000000166;5;5;201798;9635400;66;1;3;;;303;
84;1000000000167;6;6;224779;10768835;55;2;26;;;337;
85;1000000000168;7;7;222444;10692630;155;1;63;;;333;
85;1000000000169;8;8;217425;10486125;17;2;55;;;325;
86;1000000000170;9;9;160130;7748380;144;1;21;;;239;
86;1000000000171;1;1;291885;14170125;390;2;4;;;435;
87;1000000000172;2;2;70560;3436650;55;1;11;;;105;
87;1000000000173;3;3;120467;5886415;15;2;8;;;179;
88;1000000000174;4;4;84924;4163040;38;1;13;;;126;
88;1000000000175;5;5;161325;7933605;201;2;28;;;239;
89;1000000000176;6;6;237276;11705850;132;1;21;;;351;
89;1000000000177;7;7;318190;15747350;385;2;18;;;470;
90;1000000000178;8;8;186450;9256500;245;1;19;;;275;
90;1000000000179;9;9;309624;15419640;151;2;54;;;456;
91;1000000000180;1;1;203320;10157030;117;1;38;;;299;
91;1000000000181;2;2;317346;15902250;194;2;18;;;466;
92;1000000000182;3;3;225060;11312400;215;1;66;;;330;
92;1000000000183;4;4;103133;5199685;1;2;18;;;151;
93;1000000000184;5;5;232560;11760600;87;1;17;;;340;
93;1000000000185;6;6;171935;8720995;27;2;42;;;251;
94;1000000000186;7;7;340942;17345300;230;1;39;;;497;
94;1000000000187;8;8;226023;11533095;139;2;3;;;329;
95;1000000000188;9;9;112144;5739230;79;1;14;;;163;
95;1000000000189;1;1;84747;4349895;7;2;22;;;123;
96;1000000000190;2;2;323610;16658880;421;1;70;;;469;
96;1000000000191;3;3;248069;12807325;50;2;46;;;359;
97;1000000000192;4;4;132864;6879360;28;1;21;;;192;
97;1000000000193;5;5;77616;4030320;86;2;12;;;112;
98;1000000000194;6;6;282458;14708980;125;1;61;;;407;
98;1000000000195;7;7;228655;11941055;21;2;23;;;329;
99;1000000000196;8;8;252648;13231350;271;1;10;;;363;
99;1000000000197;9;9;88519;4648835;65;2;16;;;127;
100;1000000000198;1;1;160540;8454800;77;1;23;;;230;
100;1000000000199;2;2;177546;9376410;250;2;2;;;254;
101;1000000000200;3;3;200200;10602020;182;1;48;;;286;
101;1000000000201;4;4;101645;5397625;122;2;14;;;145;
102;1000000000202;5;5;165672;8821680;186;1;28;;;236;
102;1000000000203;6;6;206682;11035290;140;2;8;;;294;
103;1000000000204;7;7;149248;7990280;5;1;27;;;212;
103;1000000000205;8;8;149460;8023140;203;2;33;;;212;
104;1000000000206;9;9;294402;15846000;43;1;54;;;417;
104;1000000000207;1;1;243915;13163475;282;2;48;;;345;
105;1000000000208;2;2;92040;4980300;13;1;15;;;130;
105;1000000000209;3;3;272256;14770560;262;2;65;;;384;
106;1000000000210;4;4;182470;9925340;126;1;33;;;257;
106;1000000000211;5;5;189837;10352925;52;2;24;;;267;
107;1000000000212;6;6;114632;6267730;145;1;8;;;161;
107;1000000000213;7;7;249550;13679750;98;2;38;;;350;
108;1000000000214;8;8;348432;19149120;215;1;19;;;488;
108;1000000000215;9;9;117975;6500175;116;2;33;;;165;
109;1000000000216;1;1;219096;12102300;43;1;3;;;306;
109;1000000000217;2;2;246648;13658520;296;2;37;;;344;
110;1000000000218;3;3;112008;6218160;26;1;4;;;156;
110;1000000000219;4;4;81966;4561710;111;2;14;;;114;
111;1000000000220;5;5;206640;11528790;104;1;5;;;287;
111;1000000000221;6;6;80752;4516400;13;2;2;;;112;
112;1000000000222;7;7;142234;7974560;131;1;31;;;197;
112;1000000000223;8;8;266787;14994315;365;2;7;;;369;
113;1000000000224;9;9;116564;6567190;29;1;17;;;161;
113;1000000000225;1;1;135575;7656715;76;2;26;;;187;
114;1000000000226;2;2;122694;6945900;30;1;5;;;169;
114;1000000000227;3;3;138857;7879705;89;2;19;;;191;
115;1000000000228;4;4;134680;7660850;61;1;22;;;185;
115;1000000000229;5;5;184437;10515945;123;2;37;;;253;
116;1000000000230;6;6;203670;11639880;203;1;36;;;279;
116;1000000000231;7;7;118422;6783750;4;2;1;;;162;
117;1000000000232;8;8;243756;13995990;125;1;39;;;333;
117;1000000000233;9;9;214769;12360205;187;2;43;;;293;
118;1000000000234;1;1;183500;10585000;33;1;32;;;250;
118;1000000000235;2;2;222705;12875985;57;2;57;;;303;
119;1000000000236;3;3;229632;13306800;3;1;3;;;312;
119;1000000000237;4;4;344179;19989935;192;2;46;;;467;
120;1000000000238;5;5;192618;11212560;183;1;5;;;261;
120;1000000000239;6;6;176621;10304485;232;2;21;;;239;
121;1000000000240;7;7;309320;18086860;311;1;66;;;418;
121;1000000000241;8;8;80028;4689900;38;2;3;;;108;
122;1000000000242;9;9;228536;13422640;149;1;52;;;308;
122;1000000000243;1;1;214727;12639415;37;2;43;;;289;
123;1000000000244;2;2;302808;17863230;209;1;44;;;407;
123;1000000000245;3;3;243615;14402715;118;2;52;;;327;
124;1000000000246;4;4;160390;9503000;199;1;25;;;215;
124;1000000000247;5;5;360801;21423465;212;2;48;;;483;
125;1000000000248;6;6;213928;12729860;108;1;17;;;286;
125;1000000000249;7;7;285369;17017365;82;2;64;;;381;
126;1000000000250;8;8;208500;12459960;108;1;13;;;278;
126;1000000000251;9;9;367990;22037750;120;2;14;;;490;
127;1000000000252;1;1;136864;8213660;103;1;10;;;182;
127;1000000000253;2;2;196533;11819385;186;2;36;;;261;
128;1000000000254;3;3;297076;17903360;58;1;63;;;394;
128;1000000000255;4;4;142695;8617455;129;2;15;;;189;
129;1000000000256;5;5;135324;8189250;55;1;25;;;179;
129;1000000000257;6;6;121877;7390705;153;2;28;;;161;
130;1000000000258;7;7;324424;19713680;56;1;64;;;428;
130;1000000000259;8;8;119922;7301970;149;2;9;;;158;
131;1000000000260;9;9;109440;6677280;34;1;8;;;144;
131;1000000000261;1;1;89798;5489950;65;2;2;;;118;
132;1000000000262;2;2;102870;6301800;90;1;24;;;135;
132;1000000000263;3;3;138103;8477135;135;2;7;;;181;
133;1000000000264;4;4;125296;7706360;102;1;14;;;164;
133;1000000000265;5;5;342720;21120960;77;2;40;;;448;
134;1000000000266;6;6;120262;7426100;73;1;17;;;157;
134;1000000000267;7;7;283790;17558350;73;2;33;;;370;
135;1000000000268;8;8;357888;22186260;258;1;23;;;466;
135;1000000000269;9;9;279916;17386460;142;2;21;;;364;
136;1000000000270;1;1;293370;18257520;178;1;22;;;381;
136;1000000000271;2;2;284499;17739675;29;2;62;;;369;
137;1000000000272;3;3;117344;7330960;89;1;6;;;152;
137;1000000000273;4;4;112858;7064210;83;2;21;;;146;
138;1000000000274;5;5;333594;20920740;152;1;43;;;431;
138;1000000000275;6;6;135625;8521625;89;2;7;;;175;
139;1000000000276;7;7;123384;7767150;105;1;28;;;159;
139;1000000000277;8;8;360528;22738320;188;2;13;;;464;
140;1000000000278;9;9;232622;14698840;204;1;17;;;299;
140;1000000000279;1;1;383268;24262980;460;2;93;;;492;
141;1000000000280;2;2;381420;24190830;408;1;92;;;489;
141;1000000000281;3;3;306933;19502625;126;2;70;;;393;
142;1000000000282;4;4;350336;22301440;307;1;4;;;448;
142;1000000000283;5;5;315549;20123805;98;2;44;;;403;
143;1000000000284;6;6;268912;17180870;27;1;51;;;343;
143;1000000000285;7;7;296730;18992610;346;2;75;;;378;
144;1000000000286;8;8;381996;24494400;140;1;34;;;486;
144;1000000000287;9;9;211703;13599295;14;2;43;;;269;
145;1000000000288;1;1;181240;11663300;140;1;9;;;230;
145;1000000000289;2;2;325068;20956380;171;2;24;;;412;
146;1000000000290;3;3;98750;6377500;112;1;8;;;125;
146;1000000000291;4;4;247583;16017775;131;2;3;;;313;
147;1000000000292;5;5;311256;20172690;265;1;74;;;393;
147;1000000000293;6;6;261690;16990050;299;2;46;;;330;
148;1000000000294;7;7;257256;16731360;103;1;58;;;324;
148;1000000000295;8;8;166155;10825155;3;2;27;;;209;
149;1000000000296;9;9;132136;8623700;59;1;14;;;166;
149;1000000000297;1;1;304454;19904110;8;2;7;;;382;
150;1000000000298;2;2;187530;12281100;101;1;18;;;235;
150;1000000000299;3;3;302821;19865285;250;2;34;;;379;
1;1000000000300;4;4;206400;13563060;228;1;49;;;258;
1;1000000000301;5;5;393291;25887975;439;2;39;;;491;
2;1000000000302;6;6;137142;9042480;163;1;6;;;171;
2;1000000000303;7;7;354926;23441470;2;2;17;;;442;
3;1000000000304;8;8;290244;19201590;282;1;28;;;361;
3;1000000000305;9;9;177905;11789245;14;2;37;;;221;
4;1000000000306;1;1;302250;20062500;43;1;22;;;375;
4;1000000000307;2;2;323607;21515655;73;2;72;;;401;
5;1000000000308;3;3;142208;9470560;4;1;26;;;176;
5;1000000000309;4;4;369713;24662005;130;2;45;;;457;
6;1000000000310;5;5;312660;20890320;202;1;23;;;386;
6;1000000000311;6;6;370627;24803675;316;2;36;;;457;
7;1000000000312;7;7;332920;22316300;29;1;53;;;410;
7;1000000000313;8;8;308127;20687715;348;2;11;;;379;
8;1000000000314;9;9;195360;13137600;218;1;28;;;240;
8;1000000000315;1;1;289325;19487725;6;2;21;;;355;
9;1000000000316;2;2;300288;20258400;97;1;14;;;368;
9;1000000000317;3;3;286767;19376955;239;2;49;;;351;
10;1000000000318;4;4;135788;9189760;46;1;26;;;166;
10;1000000000319;5;5;153153;10381305;121;2;11;;;187;
11;1000000000320;6;6;104960;7125760;43;1;6;;;128;
11;1000000000321;7;7;121508;8262100;52;2;10;;;148;
12;1000000000322;8;8;348528;23735520;402;1;72;;;424;
12;1000000000323;9;9;332492;22678540;263;2;76;;;404;
13;1000000000324;1;1;87344;5966740;21;1;1;;;106;
13;1000000000325;2;2;327525;22408665;336;2;63;;;397;
14;1000000000326;3;3;125552;8603200;13;1;10;;;152;
14;1000000000327;4;4;286969;19693985;49;2;69;;;347;
15;1000000000328;5;5;254196;17471370;158;1;21;;;307;
15;1000000000329;6;6;290979;20029815;65;2;70;;;351;
16;1000000000330;7;7;172640;11901760;6;1;2;;;208;
16;1000000000331;8;8;331569;22892625;291;2;43;;;399;
17;1000000000332;9;9;393536;27211690;466;1;18;;;473;
17;1000000000333;1;1;199920;13844400;20;2;38;;;240;
18;1000000000334;2;2;106752;7403520;9;1;16;;;128;
18;1000000000335;3;3;128590;8931230;139;2;6;;;154;
19;1000000000336;4;4;352792;24539300;192;1;8;;;422;
19;1000000000337;5;5;150660;10494900;85;2;27;;;180;
20;1000000000338;6;6;96370;6722900;42;1;13;;;115;
20;1000000000339;7;7;104036;7268260;114;2;11;;;124;
21;1000000000340;8;8;284760;19923030;116;1;23;;;339;
21;1000000000341;9;9;144652;10135100;170;2;13;;;172;
22;1000000000342;1;1;250074;17546760;218;1;23;;;297;
22;1000000000343;2;2;384408;27011160;254;2;4;;;456;
23;1000000000344;3;3;113096;7958260;112;1;25;;;134;
23;1000000000345;4;4;119990;8455390;18;2;4;;;142;
24;1000000000346;5;5;225036;15880200;236;1;37;;;266;
24;1000000000347;6;6;176176;12449840;138;2;35;;;208;
25;1000000000348;7;7;189104;13382230;188;1;40;;;223;
25;1000000000349;8;8;396483;28097055;464;2;18;;;467;
26;1000000000350;9;9;370600;26299520;49;1;4;;;436;
26;1000000000351;1;1;370185;26306625;307;2;60;;;435;
27;1000000000352;2;2;375732;26737830;111;1;74;;;441;
27;1000000000353;3;3;116861;8327545;89;2;4;;;137;
28;1000000000354;4;4;366366;26143260;96;1;72;;;429;
28;1000000000355;5;5;117135;8370015;128;2;9;;;137;
29;1000000000356;6;6;88168;6308750;43;1;18;;;103;
29;1000000000357;7;7;283667;20325055;152;2;49;;;331;
30;1000000000358;8;8;316602;22715640;368;1;22;;;369;
30;1000000000359;9;9;162351;11664135;46;2;37;;;189;
31;1000000000360;1;1;144480;10394160;74;1;8;;;168;
31;1000000000361;2;2;158424;11412600;100;2;7;;;184;
32;1000000000362;3;3;228430;16477700;80;1;45;;;265;
32;1000000000363;4;4;140669;10160605;134;2;4;;;163;
33;1000000000364;5;5;320544;23183790;248;1;18;;;371;
33;1000000000365;6;6;125425;9083525;68;2;8;;;145;
34;1000000000366;7;7;294440;21352000;89;1;68;;;340;
34;1000000000367;8;8;325992;23671080;359;2;33;;;376;
35;1000000000368;9;9;118048;8582960;79;1;20;;;136;
35;1000000000369;1;1;232892;16955020;116;2;29;;;268;
36;1000000000370;2;2;421950;30758700;267;1;67;;;485;
36;1000000000371;3;3;361465;26383625;292;2;16;;;415;
37;1000000000372;4;4;427280;31227700;301;1;9;;;490;
37;1000000000373;5;5;295947;21657015;283;2;6;;;339;
38;1000000000374;6;6;433504;31763840;39;1;99;;;496;
38;1000000000375;7;7;92750;6804670;85;2;9;;;106;
39;1000000000376;8;8;211992;15572700;170;1;31;;;242;
39;1000000000377;9;9;324490;23866850;361;2;62;;;370;
40;1000000000378;1;1;95702;7047940;83;1;7;;;109;
40;1000000000379;2;2;95811;7064835;22;2;20;;;109;
41;1000000000380;3;3;153120;11304780;34;1;33;;;174;
41;1000000000381;4;4;328613;24291625;332;2;37;;;373;
42;1000000000382;5;5;343980;25459200;296;1;70;;;390;
42;1000000000383;6;6;398233;29511185;65;2;63;;;451;
43;1000000000384;7;7;158236;11740610;12;1;5;;;179;
43;1000000000385;8;8;297360;22090320;63;2;30;;;336;
44;1000000000386;9;9;369462;27480300;146;1;37;;;417;
44;1000000000387;1;1;429308;31970620;129;2;91;;;484;
45;1000000000388;2;2;96792;7216890;1;1;8;;;109;
45;1000000000389;3;3;278257;20772245;198;2;56;;;313;
46;1000000000390;4;4;345320;25809760;70;1;3;;;388;
46;1000000000391;5;5;205821;15401925;222;2;36;;;231;
47;1000000000392;6;6;99012;7418130;59;1;3;;;111;
47;1000000000393;7;7;343805;25789225;138;2;19;;;385;
48;1000000000394;8;8;141252;10608120;68;1;26;;;158;
48;1000000000395;9;9;318620;23957020;42;2;17;;;356;
49;1000000000396;1;1;310912;23405150;303;1;41;;;347;
49;1000000000397;2;2;349830;26365950;52;2;70;;;390;
50;1000000000398;3;3;103270;7792400;107;1;3;;;115;
50;1000000000399;4;4;275993;20849905;229;2;39;;;307;
51;1000000000400;5;5;225900;17085570;49;1;37;;;251;
51;1000000000401;6;6;188309;14259025;11;2;27;;;209;
52;1000000000402;7;7;377938;28651220;18;1;8;;;419;
52;1000000000403;8;8;367521;27893745;370;2;44;;;407;
53;1000000000404;9;9;356176;27063860;174;1;39;;;394;
53;1000000000405;1;1;406345;30911405;408;2;58;;;449;
54;1000000000406;2;2;110532;8418000;75;1;2;;;122;
54;1000000000407;3;3;239448;18256920;262;2;7;;;264;
55;1000000000408;4;4;335960;25644700;29;1;74;;;370;
55;1000000000409;5;5;369963;28272255;342;2;12;;;407;
56;1000000000410;6;6;449540;34392280;460;1;4;;;494;
56;1000000000411;7;7;295164;22607100;61;2;64;;;324;
57;1000000000412;8;8;338352;25944030;215;1;48;;;371;
57;1000000000413;9;9;401720;30837400;328;2;74;;;440;
58;1000000000414;1;1;116078;8920480;119;1;8;;;127;
58;1000000000415;2;2;182085;14008605;37;2;21;;;199;
59;1000000000416;3;3;142896;11005800;138;1;28;;;156;
59;1000000000417;4;4;319116;24605340;192;2;31;;;348;
60;1000000000418;5;5;106488;8219760;57;1;1;;;116;
60;1000000000419;6;6;226074;17469690;71;2;36;;;246;
61;1000000000420;7;7;215280;16653780;195;1;32;;;234;
61;1000000000421;8;8;184200;14265000;66;2;26;;;200;
62;1000000000422;9;9;297806;23088040;5;1;22;;;323;
62;1000000000423;1;1;135681;10530345;16;2;4;;;147;
63;1000000000424;2;2;99792;7753320;94;1;3;;;108;
63;1000000000425;3;3;296925;23094345;208;2;48;;;321;
64;1000000000426;4;4;280578;21846300;23;1;48;;;303;
64;1000000000427;5;5;327231;25506015;80;2;49;;;353;
65;1000000000428;6;6;286752;22374690;240;1;15;;;309;
65;1000000000429;7;7;248972;19447420;119;2;26;;;268;
66;1000000000430;8;8;461280;36069120;234;1;34;;;496;
66;1000000000431;9;9;443156;34688500;412;2;66;;;476;
67;1000000000432;1;1;159372;12488130;130;1;8;;;171;
67;1000000000433;2;2;122223;9587235;44;2;22;;;131;
68;1000000000434;3;3;224160;17601600;221;1;38;;;240;
68;1000000000435;4;4;241230;18961710;46;2;51;;;258;
69;1000000000436;5;5;161928;12741450;164;1;1;;;173;
69;1000000000437;6;6;215510;16975150;103;2;32;;;230;
70;1000000000438;7;7;365820;28844400;309;1;66;;;390;
70;1000000000439;8;8;102351;8078535;60;2;14;;;109;
71;1000000000440;9;9;292340;23097970;301;1;24;;;311;
71;1000000000441;1;1;154324;12205700;90;2;31;;;164;
72;1000000000442;2;2;327816;25953840;228;1;27;;;348;
72;1000000000443;3;3;314019;24886755;305;2;66;;;333;
73;1000000000444;4;4;219008;17374480;167;1;46;;;232;
73;1000000000445;5;5;323190;25665390;177;2;41;;;342;
74;1000000000446;6;6;466378;37073600;197;1;34;;;493;
74;1000000000447;7;7;262319;20873335;227;2;30;;;277;
75;1000000000448;8;8;346968;27636660;119;1;51;;;366;
75;1000000000449;9;9;271414;21640190;154;2;31;;;286;
76;1000000000450;1;1;453150;36166140;315;1;71;;;477;
76;1000000000451;2;2;95100;7597500;81;2;11;;;100;
77;1000000000452;3;3;223720;17890550;219;1;4;;;235;
77;1000000000453;4;4;275417;22046365;141;2;34;;;289;
78;1000000000454;5;5;363474;29123640;229;1;38;;;381;
78;1000000000455;6;6;151845;12178605;35;2;6;;;159;
79;1000000000456;7;7;332688;26709000;159;1;41;;;348;
79;1000000000457;8;8;355047;28531755;330;2;55;;;371;
